month,comments,commenter
"01-2020",0,0
"02-2020",0,0
"03-2020",37,5
"04-2020",13,4
"05-2020",50,5
"06-2020",16,7
"07-2020",26,6
"08-2020",19,7
"09-2020",11,5
"10-2020",56,8
"11-2020",0,0
"12-2020",2,2
"01-2021",0,0
"02-2021",20,4
"03-2021",0,0
"04-2021",0,0
"05-2021",2,1
"06-2021",20,2
"07-2021",29,4
"08-2021",11,5
"09-2021",3,1
"10-2021",1,1
"11-2021",3,3
"12-2021",15,8
"01-2022",1,1
"02-2022",0,0
"03-2022",0,0
"04-2022",0,0
"05-2022",3,2
"06-2022",0,0
"07-2022",2,2
"08-2022",0,0
"09-2022",0,0
"10-2022",0,0
"11-2022",0,0
"12-2022",1,1
"01-2023",1,1
"02-2023",0,0
"03-2023",0,0
"04-2023",0,0
"05-2023",1,1
"06-2023",1,1
"07-2023",1,1
"08-2023",0,0
"09-2023",0,0
"10-2023",0,0
"11-2023",0,0
