month,submissions,submitters
"01-2020",6,3
"02-2020",2,2
"03-2020",9,4
"04-2020",3,2
"05-2020",14,4
"06-2020",11,5
"07-2020",4,2
"08-2020",11,7
"09-2020",9,8
"10-2020",21,8
"11-2020",1,1
"12-2020",3,2
"01-2021",2,2
"02-2021",3,1
"03-2021",0,0
"04-2021",0,0
"05-2021",1,1
"06-2021",1,1
"07-2021",4,4
"08-2021",4,4
"09-2021",5,5
"10-2021",2,2
"11-2021",4,3
"12-2021",8,7
"01-2022",4,3
"02-2022",0,0
"03-2022",0,0
"04-2022",0,0
"05-2022",1,1
"06-2022",0,0
"07-2022",1,1
"08-2022",1,1
"09-2022",0,0
"10-2022",0,0
"11-2022",0,0
"12-2022",1,1
"01-2023",1,1
"02-2023",0,0
"03-2023",0,0
"04-2023",0,0
"05-2023",1,1
"06-2023",1,1
"07-2023",1,1
"08-2023",0,0
"09-2023",0,0
"10-2023",1,1
"11-2023",0,0
"12-2023",0,0
"01-2024",1,1
"02-2024",1,1
"03-2024",0,0
"04-2024",1,1
