PR_ref,commenter,month
"gradle/gradle/12098","melix","2020-01"
"gradle/gradle/12098","melix","2020-02"
"gradle/gradle/12098","eskatos","2020-02"
"gradle/gradle/12098","melix","2020-02"
"gradle/gradle/12098","melix","2020-02"
"gradle/gradle/12098","bamboo","2020-02"
"gradle/gradle/12098","melix","2020-02"
"gradle/gradle/12098","melix","2020-02"
"gradle/gradle/12098","eskatos","2020-02"
"gradle/gradle/12098","melix","2020-02"
"gradle/gradle/12098","bamboo","2020-02"
"gradle/gradle/12098","melix","2020-02"
"gradle/gradle/12098","bamboo","2020-02"
"gradle/gradle/12098","bamboo","2020-02"
"gradle/gradle/12096","JLLeitschuh","2020-02"
"gradle/gradle/12095","wolfs","2020-01"
"gradle/gradle/12095","jjohannes","2020-02"
"gradle/gradle/12095","wolfs","2020-02"
"gradle/gradle/12094","ljacomet","2020-01"
"gradle/gradle/12094","ljacomet","2020-01"
"gradle/gradle/12094","ljacomet","2020-01"
"gradle/gradle/12094","jjohannes","2020-01"
"gradle/gradle/12094","ljacomet","2020-01"
"gradle/gradle/12090","lptr","2020-02"
"gradle/gradle/12090","wolfs","2020-01"
"gradle/gradle/12089","jjohannes","2020-02"
"gradle/gradle/12089","LunNova","2020-02"
"gradle/gradle/12089","jjohannes","2020-02"
"gradle/gradle/12089","LunNova","2020-02"
"gradle/gradle/12089","jjohannes","2020-02"
"gradle/gradle/12089","LunNova","2020-02"
"gradle/gradle/12089","LunNova","2020-05"
"gradle/gradle/12089","stale","2020-08"
"gradle/gradle/12089","stale","2020-09"
"gradle/gradle/12089","melix","2020-02"
"gradle/gradle/12086","ljacomet","2020-01"
"gradle/gradle/12085","ljacomet","2020-01"
"gradle/gradle/12085","SamDeBlock","2020-02"
"gradle/gradle/12085","SamDeBlock","2020-02"
"gradle/native-platform/78","wolfs","2020-01"
"gradle/native-platform/78","lptr","2020-01"
"gradle/native-platform/78","lptr","2020-01"
"gradle/native-platform/78","lptr","2020-01"
"gradle/native-platform/78","wolfs","2020-01"
"gradle/native-platform/78","wolfs","2020-01"
"gradle/gradle/12083","jjohannes","2020-03"
"gradle/gradle/12083","anuraaga","2020-03"
"gradle/gradle/12083","anuraaga","2020-03"
"gradle/gradle/12083","jjohannes","2020-04"
"gradle/gradle/12081","wolfs","2020-01"
"gradle/gradle/12074","pioterj","2020-01"
"gradle/native-platform/77","wolfs","2020-01"
"gradle/native-platform/77","wolfs","2020-01"
"gradle/native-platform/77","lptr","2020-01"
"gradle/native-platform/77","lptr","2020-01"
"gradle/native-platform/77","lptr","2020-01"
"gradle/native-platform/77","wolfs","2020-01"
"gradle/native-platform/77","wolfs","2020-01"
"gradle/gradle/12072","lptr","2020-01"
"gradle/gradle/12072","lptr","2020-01"
"gradle/gradle/12072","lptr","2020-05"
"gradle/gradle/12072","bot-gradle","2020-05"
"gradle/gradle/12072","lptr","2020-05"
"gradle/gradle/12072","lptr","2020-05"
"gradle/gradle/12072","lptr","2020-05"
"gradle/gradle/12072","eskatos","2020-05"
"gradle/gradle/12072","lptr","2020-05"
"gradle/gradle/12072","eskatos","2020-05"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","bot-gradle","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","bot-gradle","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","bot-gradle","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","eskatos","2020-07"
"gradle/gradle/12072","eskatos","2020-07"
"gradle/gradle/12072","eskatos","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","bot-gradle","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","blindpirate","2020-07"
"gradle/gradle/12072","bot-gradle","2020-07"
"gradle/gradle/12072","lptr","2020-07"
"gradle/gradle/12072","lptr","2020-01"
"gradle/gradle/12072","lptr","2020-01"
"gradle/gradle/12072","lptr","2020-01"
"gradle/gradle/12072","lptr","2020-01"
"gradle/gradle/12072","eskatos","2020-01"
"gradle/gradle/12072","lptr","2020-07"
