month,comments,commenter
"01-2020",891,50
"02-2020",612,33
"03-2020",1043,47
"04-2020",1089,52
"05-2020",1149,46
"06-2020",1101,36
"07-2020",1221,49
"08-2020",1444,33
"09-2020",1755,40
"10-2020",1494,50
"11-2020",1196,39
"12-2020",814,26
"01-2021",1012,41
"02-2021",1031,48
"03-2021",1181,49
"04-2021",953,42
"05-2021",1148,57
"06-2021",1324,49
"07-2021",1459,54
"08-2021",1052,50
"09-2021",1618,49
"10-2021",1664,65
"11-2021",2187,60
"12-2021",1234,47
"01-2022",1477,46
"02-2022",1367,54
"03-2022",1254,50
"04-2022",1268,56
"05-2022",1094,46
"06-2022",1315,56
"07-2022",1166,54
"08-2022",1937,60
"09-2022",2987,69
"10-2022",1478,57
"11-2022",2025,50
"12-2022",2224,61
"01-2023",1932,65
"02-2023",1622,74
"03-2023",2797,70
"04-2023",1991,61
"05-2023",1393,59
"06-2023",1709,53
"07-2023",1640,63
"08-2023",1501,61
"09-2023",1855,55
"10-2023",1085,50
"11-2023",1399,67
"12-2023",1415,52
"01-2024",1738,61
