month,submissions,submitters
"01-2020",209,35
"02-2020",189,33
"03-2020",221,34
"04-2020",204,35
"05-2020",221,40
"06-2020",183,32
"07-2020",215,37
"08-2020",234,34
"09-2020",274,33
"10-2020",217,40
"11-2020",188,32
"12-2020",148,26
"01-2021",208,33
"02-2021",240,37
"03-2021",195,38
"04-2021",182,35
"05-2021",184,46
"06-2021",172,37
"07-2021",234,38
"08-2021",169,34
"09-2021",205,37
"10-2021",235,53
"11-2021",264,45
"12-2021",225,38
"01-2022",223,43
"02-2022",208,41
"03-2022",265,48
"04-2022",251,49
"05-2022",193,49
"06-2022",197,50
"07-2022",202,49
"08-2022",289,52
"09-2022",368,61
"10-2022",237,51
"11-2022",311,50
"12-2022",366,61
"01-2023",297,69
"02-2023",317,59
"03-2023",423,54
"04-2023",359,62
"05-2023",279,63
"06-2023",254,51
"07-2023",365,63
"08-2023",248,68
"09-2023",283,56
"10-2023",240,64
"11-2023",251,54
"12-2023",256,62
"01-2024",319,64
