Submitter,Total_PRs,Status
bot-gradle,4530,
tresat,1489,
jvandort,1226,
bamboo,724,
wolfs,676,
gitstream-cm,646,
lkasso,642,
eskatos,614,
asodja,557,
alllex,556,
lptr,543,
big-guy,536,
blindpirate,504,
ljacomet,418,
donat,367,
etiennestuder,340,
hegyibalint,339,
abstratt,323,
mlopatkin,312,
ghale,258,
erichaagdev,251,
runningcode,244,
ov7a,243,
jbartok,233,
octylFractal,223,
bigdaz,223,
reinsch82,198,
6hundreds,187,
h0tk3y,142,
jprinet,122,
adammurdoch,108,new
cobexer,106,new
tylerbertrand,99,
JLLeitschuh,92,new
jthurne,83,
hythloda,,churned
cdsap,,churned
github-actions,,churned
