,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04
bot-githubaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,14,6,3,10,10,0,9,10,0,2,25,17,26,3,5,48,21,19,25,20,19,7,24,18,17
blindpirate,4,13,9,10,11,14,16,13,17,12,11,5,7,4,16,12,21,22,42,18,19,32,48,31,21,16,36,34,28,25,17,24,35,18,32,30,26,17,1,4,7,14,15,13,20,12,15,20,22,17,23,29
bot-gradle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,6,23,10,15,14,13,17,8,28,11,11,16,20,18,10,25,18,18,39,17,20,19,13,7,24,5,23,14,14,17,14,14
tresat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,13,15,10,8,6,7,15,12,11,6,29,19,16,12,9,19,7,21,18,5,17,9,10,19,20,4,4,11,35,12,35
bigdaz,0,0,0,0,0,0,1,1,2,0,1,0,6,4,1,1,0,2,13,5,6,14,14,10,4,3,5,7,2,16,1,1,6,2,0,2,1,3,12,13,4,11,28,11,9,1,4,2,23,5,8,46
jvandort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,4,13,11,9,16,18,14,17,12,15,12,7,14,6,16,8,5,13,25,11,17,7
alllex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,20,18,5,4,9,3,9,12,3,4,8,4,8,10,9,13,32,6,0,26,11
asodja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,14,14,19,13,8,5,5,3,3,6,7,5,5,6,6,11,18,6,14,10,10,15,11,11,8,7,6,12,9,15,11
ljacomet,8,3,11,12,17,6,9,8,18,5,3,11,8,17,11,4,1,4,7,5,6,12,9,21,7,8,10,2,1,3,5,3,13,7,7,11,9,15,9,11,14,16,17,3,7,5,12,4,6,13,5,3
eskatos,16,9,16,19,24,35,15,2,22,15,5,12,14,12,11,13,1,14,7,0,13,9,10,6,9,4,4,3,11,12,7,7,18,5,8,18,37,23,35,44,8,14,9,4,23,15,8,2,1,5,1,7
wolfs,33,38,33,19,29,27,37,19,47,32,20,16,15,26,25,30,16,26,28,21,18,14,24,19,29,35,12,12,9,4,6,12,19,4,2,4,2,13,9,6,15,11,8,4,1,1,1,5,9,26,2,9
abstratt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,7,10,1,6,6,4,7,14,5,4,1,5,4,6,3,9,13,10,9,8,7
big-guy,3,0,0,2,2,0,1,2,2,0,0,1,3,4,2,5,5,4,25,7,27,4,7,5,18,15,16,12,6,3,16,19,6,11,8,11,10,2,1,11,16,12,9,2,6,8,8,2,5,6,0,5
bamboo,15,11,10,23,21,23,25,27,11,15,12,20,13,25,15,11,9,13,12,15,7,9,15,17,25,9,11,15,8,10,9,10,13,2,4,16,4,7,13,16,5,9,16,7,5,5,0,5,11,4,5,7
lptr,13,28,30,24,11,4,12,17,37,22,14,9,6,11,7,4,7,7,8,13,15,5,1,2,5,7,2,1,3,6,0,10,21,8,10,2,3,3,2,3,8,13,2,2,3,3,5,4,3,11,7,13
ribafish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,8,0,2,6,5,10,26,9
reinsch82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,5,13,11,11,0,3,4,6,6,6,6,8,9,5,10
hegyibalint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,2,2,0,5,5,3,4,6,6,4,10,5,4,3,8,11,8,3,8,10,3,12,2,1
runningcode,0,0,1,1,3,3,7,9,6,3,1,2,13,8,5,7,5,1,3,4,4,0,1,0,3,14,10,5,1,0,3,7,1,0,14,4,4,10,0,8,1,1,11,0,2,2,14,3,15,2,5,14
jprinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,11,7,4,5,7,10,3,5,1,7,7,12,5,10,12,7,1,4,3,6,1,8,8,8,1,10,8,6,6
pshevche (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,0,0,4,1,0,1,4,1,1,6,29,21
