user,PR
"bot-gradle",344
"wolfs",95
"blindpirate",65
"tresat",63
"lptr",54
"big-guy",50
"bamboo",46
"octylFractal",39
"eskatos",39
"h0tk3y",31
"etiennestuder",28
"marcphilipp",22
"runningcode",18
"ljacomet",18
"jprinet",17
"ghale",16
"asodja",16
"donat",15
"jvandort",14
"DPUkyle",13
"demiurg906",12
"mlopatkin",11
"hegyibalint",10
"jbartok",8
"adammurdoch",6
"abstratt",5
"lacasseio",4
"github-actions",4
"stale",3
"pbielicki",3
"bigdaz",3
"akshayabd",3
"yogurtearl",2
"leonard84",2
"jonnybbb",2
"facewindu",2
"ephemient",2
"sorin-florea",1
"maol74",1
"mahozad",1
"jthurne",1
"guylabs",1
"dreis2211",1
"clayburn",1
"britter",1
"Fleshgrinder",1
