user,PR
"bot-githubaction",25
"tresat",20
"eskatos",15
"blindpirate",12
"alllex",9
"jvandort",8
"jprinet",8
"donat",8
"cdsap",8
"big-guy",8
"asodja",8
"reinsch82",6
"mlopatkin",6
"ov7a",5
"lkasso",5
"ljacomet",5
"jbartok",5
"erichaagdev",5
"bot-gradle",5
"bamboo",5
"octylFractal",4
"hfhbd",4
"lptr",3
"hegyibalint",3
"abstratt",3
"6hundreds",3
"tylerbertrand",2
"skuzzle",2
"runningcode",2
"matthewvon",2
"kennethshackleton",2
"akshayabd",2
"zalintyre",1
"wolfs",1
"sombriks",1
"radoslaw-panuszewski",1
"pshevche",1
"nikclayton",1
"liutikas",1
"lacasseio",1
"jthurne",1
"jongwooo",1
"jean-andre-gauthier",1
"gmazzo",1
"fieropheonix6",1
"danielleberre",1
"cobexer",1
"c00ler",1
"bric3",1
"bigdaz",1
"bgalek",1
"alextu",1
"akiraly",1
"Vampire",1
"Taz03",1
"Surya-KN",1
"SimonMarquis",1
"Kryslynn93",1
"ILikeYourHat",1
"DuncanCasteleyn",1
"DinoBarton",1
"DanielThomas",1
"AlexLandau",1
"3flex",1
