month,comments,commenter
"01-2020",4675,191
"02-2020",4124,183
"03-2020",5001,213
"04-2020",5803,220
"05-2020",5243,232
"06-2020",4080,210
"07-2020",3607,180
"08-2020",4089,190
"09-2020",4022,208
"10-2020",4103,209
"11-2020",4019,187
"12-2020",2439,139
"01-2021",3314,156
"02-2021",3488,171
"03-2021",4227,178
"04-2021",4109,187
"05-2021",3151,174
"06-2021",3247,161
"07-2021",3386,186
"08-2021",2774,167
"09-2021",2397,143
"10-2021",2942,172
"11-2021",2792,134
"12-2021",2728,142
"01-2022",3910,177
"02-2022",2934,156
"03-2022",3134,172
"04-2022",3820,189
"05-2022",2814,149
"06-2022",3950,166
"07-2022",4113,188
"08-2022",4354,198
"09-2022",3406,193
"10-2022",4532,206
"11-2022",4049,176
"12-2022",3540,134
"01-2023",3730,175
"02-2023",4730,196
"03-2023",3901,184
"04-2023",5129,173
"05-2023",4354,188
"06-2023",3262,157
"07-2023",3726,163
"08-2023",3222,138
"09-2023",5360,224
