month,submissions,submitters
"01-2020",543,132
"02-2020",449,123
"03-2020",616,149
"04-2020",707,168
"05-2020",662,173
"06-2020",455,133
"07-2020",463,144
"08-2020",525,139
"09-2020",483,139
"10-2020",562,178
"11-2020",426,137
"12-2020",345,115
"01-2021",428,125
"02-2021",421,113
"03-2021",507,126
"04-2021",551,148
"05-2021",418,145
"06-2021",340,129
"07-2021",496,137
"08-2021",368,122
"09-2021",347,133
"10-2021",471,136
"11-2021",334,105
"12-2021",325,107
"01-2022",421,128
"02-2022",372,140
"03-2022",403,121
"04-2022",459,134
"05-2022",374,128
"06-2022",429,124
"07-2022",479,143
"08-2022",467,153
"09-2022",496,161
"10-2022",525,139
"11-2022",480,132
"12-2022",328,95
"01-2023",398,117
"02-2023",451,122
"03-2023",550,141
"04-2023",518,136
"05-2023",471,127
"06-2023",323,109
"07-2023",363,108
"08-2023",455,110
"09-2023",634,183
"10-2023",583,167
"11-2023",487,161
