,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04
nodejs-github-bot,533,500,775,803,538,435,408,420,409,759,676,481,618,533,649,749,550,393,568,326,391,480,698,648,819,819,635,833,671,978,1079,904,801,982,1028,833,881,1169,991,1233,864,754,729,936,1201,1321,783,609,485,544,696,33
ovflowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,50,185,155,250,110,74,130,42,287,562,345,162,339,168,277,548,267,19,207,115,202,19
aduh95,3,6,21,17,38,4,4,91,90,200,402,282,471,338,328,280,231,227,157,134,196,144,133,247,269,265,225,378,195,337,416,229,264,313,265,270,267,266,155,122,222,216,166,245,373,175,126,135,123,83,198,0
anonrig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,6,42,24,138,248,142,146,162,143,173,127,188,96,113,252,164,106,94,64,34,126,0
GeoffreyBooth,28,17,63,29,48,44,19,39,62,18,2,1,11,10,13,4,3,3,21,8,38,71,82,21,80,35,45,64,20,77,99,60,52,35,50,91,99,27,36,82,88,76,143,182,192,197,105,41,61,29,169,7
mcollina,74,86,112,146,306,108,83,173,112,93,127,79,106,102,249,204,105,101,117,119,95,90,122,90,109,107,118,136,134,129,163,145,125,130,123,67,146,168,89,48,93,53,73,74,127,144,57,115,152,205,155,4
joyeecheung,13,51,38,73,44,18,12,16,11,27,19,13,7,14,4,8,11,37,5,3,8,26,23,11,2,3,41,23,12,21,33,139,61,23,43,101,44,89,105,63,70,58,50,77,172,86,116,49,19,106,120,3
targos,49,9,71,160,206,62,32,32,90,145,69,77,100,109,171,183,152,224,232,187,188,217,172,29,146,98,71,128,83,21,96,84,61,104,86,55,63,60,159,107,99,54,47,29,116,106,137,63,92,27,80,2
mhdawson,98,70,140,135,96,90,137,54,171,100,119,82,107,69,155,85,117,121,72,31,131,129,94,61,166,118,189,103,108,83,113,59,99,97,173,53,107,88,117,84,88,114,76,91,59,106,61,24,72,33,49,1
github-actions,0,0,0,17,34,12,4,62,72,182,175,115,40,16,29,24,100,109,171,141,154,228,58,48,72,73,55,58,72,84,79,99,80,101,93,52,50,75,64,61,47,44,105,134,165,169,103,0,0,0,0,0
Uzlopak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,0,0,0,0,0,36,0,90,134,33,3,94,221,127,0
AugustinMauroy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,35,23,44,49,58,70,27,68,104,163,44,20,27,85,73,67,5,44,58,136,1
MoLow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,163,114,99,55,94,72,19,84,101,165,167,82,129,62,66,51,25,12,22,25,65,4
