,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
nodejs-github-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,5,7,7,15,20,11,13,16,19,15,22,22,22,21,22,14,27,30,29,33,31,26,28,20,24,46,47,29,25,18,18
aduh95,4,3,4,1,11,0,2,17,16,23,62,25,32,42,23,26,20,17,8,8,14,20,7,10,20,17,17,32,12,32,39,12,6,26,17,14,19,42,26,10,12,14,13,19,26,21,13,13,19,11,19
ovflowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,19,19,19,6,4,5,1,30,13,18,11,37,17,24,22,15,4,4,2,8
RafaelGSS,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,1,2,5,3,3,3,2,8,6,16,19,32,10,17,19,22,7,25,12,12,14,6,21,20,22,2,21,7,16,15,10,17
joyeecheung,0,6,0,8,5,1,1,0,2,3,0,0,10,2,2,0,4,10,1,2,2,4,1,1,0,0,5,7,1,4,3,17,13,6,5,4,2,16,12,14,6,3,10,22,25,11,25,8,8,22,12
anonrig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,8,9,50,12,9,17,18,20,11,17,13,9,25,24,7,10,5,0,9
Uzlopak (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,4,0,33,68,19
targos,1,3,14,23,26,10,5,2,15,20,14,12,10,16,30,33,13,22,14,19,27,29,18,5,10,10,4,14,13,0,4,7,2,14,11,13,6,7,17,16,19,3,7,5,17,9,17,19,7,6,19
mhdawson,15,5,15,19,9,6,14,5,18,11,15,13,11,12,5,12,9,7,12,11,10,22,12,13,30,17,25,13,8,13,13,2,14,10,20,6,12,15,10,14,11,14,15,16,6,14,6,8,12,5,19
UlisesGascon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,2,0,9,12,17,18,21,12,13,9,9,16,4,4,2,2
MoLow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,20,12,17,13,9,6,7,11,12,23,13,11,10,5,26,10,7,1,2,2,9
KhafraDev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,5,1,3,9,20,12,8,4,9,41,15,18,15,17,15,28,4,2,1,6,7,12,3,4,15,18,6
ronag,18,19,37,40,130,31,29,60,25,7,9,14,19,14,15,34,10,13,34,26,3,11,27,12,0,4,6,1,0,3,2,2,0,3,4,4,2,11,5,12,5,1,2,0,8,19,6,9,5,25,9
richardlau,11,7,11,14,6,7,16,5,16,14,8,6,8,12,18,30,13,15,24,11,19,23,8,15,5,6,31,15,10,13,3,6,5,19,12,13,3,8,15,12,7,13,5,4,4,17,1,5,4,11,16
tniessen,12,8,4,2,3,0,6,0,10,9,4,1,13,12,14,11,4,1,4,7,2,11,5,1,36,28,21,25,26,13,19,23,22,7,4,1,9,13,23,17,26,4,3,21,0,9,8,1,2,4,0
marco-ippolito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,7,7,12,7,3,1,0,3,8,3,6,14,7,29
tsctx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,13,12,9
angelaschultz0622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
Trott,12,50,36,28,8,42,69,61,74,39,36,29,31,32,36,39,25,28,97,36,49,73,45,66,62,27,41,48,3,13,19,13,22,27,28,2,4,8,35,11,17,3,7,3,26,4,0,2,0,0,0
legendecas,2,10,4,4,0,2,0,0,0,1,2,5,0,1,4,7,9,5,9,0,0,0,0,0,0,1,1,2,6,2,9,25,8,6,5,4,6,8,2,9,6,6,3,4,1,9,7,3,5,2,15
AugustinMauroy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,10,5,12,7,9,5,15,13,15,3,1,3,6,1,5,1,0,2,14
rluvaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,3,1,5,4,17,10,17,7,1,0,0,0,1
GeoffreyBooth,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,2,0,6,3,3,1,2,2,2,2,0,2,9,4,5,1,2,7,3,4,0,2,2,0,3,4,17,10,3,1,0,3,9
mcollina,3,0,1,1,3,1,3,1,4,3,1,4,3,2,5,8,1,2,2,3,1,11,2,0,0,1,2,0,8,3,9,3,3,0,1,1,3,2,2,1,5,1,3,0,8,6,1,10,8,4,4
pluris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,12,5,8,5,3,0,0
flakey5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,10,12,18,2,3,0,2
cjihrig,37,6,17,14,26,4,6,8,9,8,2,2,9,10,4,5,1,1,2,1,1,0,3,3,3,0,3,1,0,1,1,3,6,3,6,7,6,4,5,9,2,0,4,2,1,7,1,0,0,0,21
panva,1,0,2,0,0,0,0,0,1,3,3,0,6,11,4,3,2,0,1,4,1,0,0,0,0,2,5,6,0,12,1,7,8,12,8,11,12,21,13,8,11,1,0,1,2,4,11,0,1,2,3
