month,comments,commenter
"01-2020",2335,200
"02-2020",2760,187
"03-2020",2314,184
"04-2020",2436,195
"05-2020",2217,194
"06-2020",2218,199
"07-2020",1517,171
"08-2020",1418,130
"09-2020",1772,141
"10-2020",4018,230
"11-2020",2202,157
"12-2020",3344,170
"01-2021",2464,151
"02-2021",2275,161
"03-2021",2413,173
"04-2021",2684,159
"05-2021",2679,182
"06-2021",1885,164
"07-2021",3309,181
"08-2021",1605,133
"09-2021",1539,132
"10-2021",2294,190
"11-2021",1810,164
"12-2021",2367,183
"01-2022",1800,165
"02-2022",1396,160
"03-2022",1370,138
"04-2022",1307,126
"05-2022",1600,138
"06-2022",1432,143
"07-2022",1509,142
"08-2022",1572,148
"09-2022",1404,139
"10-2022",1356,138
"11-2022",2139,137
"12-2022",2086,169
"01-2023",2182,152
"02-2023",2099,145
"03-2023",1856,151
"04-2023",1575,131
"05-2023",1532,116
"06-2023",1506,120
"07-2023",1574,133
"08-2023",1419,107
"09-2023",1702,131
"10-2023",2584,159
"11-2023",1427,131
"12-2023",2298,165
"01-2024",1838,155
"02-2024",1625,126
"03-2024",1577,106
