month,submissions,submitters
"01-2020",403,178
"02-2020",530,179
"03-2020",443,159
"04-2020",414,172
"05-2020",427,162
"06-2020",476,192
"07-2020",286,141
"08-2020",308,138
"09-2020",391,141
"10-2020",652,216
"11-2020",364,150
"12-2020",508,160
"01-2021",446,135
"02-2021",381,139
"03-2021",396,153
"04-2021",436,156
"05-2021",474,146
"06-2021",395,158
"07-2021",469,146
"08-2021",323,116
"09-2021",362,133
"10-2021",491,206
"11-2021",467,169
"12-2021",528,173
"01-2022",330,174
"02-2022",310,131
"03-2022",267,126
"04-2022",293,132
"05-2022",312,131
"06-2022",310,139
"07-2022",354,125
"08-2022",344,120
"09-2022",279,130
"10-2022",316,149
"11-2022",353,132
"12-2022",414,152
"01-2023",408,142
"02-2023",424,137
"03-2023",377,136
"04-2023",318,129
"05-2023",374,125
"06-2023",338,140
"07-2023",416,135
"08-2023",364,113
"09-2023",328,121
"10-2023",603,185
"11-2023",428,153
