,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04
nicolas-grekas,407,482,388,354,396,334,192,98,325,351,148,309,436,447,271,285,383,274,386,193,287,360,290,366,213,323,337,297,233,208,212,225,202,184,145,343,267,667,525,402,348,292,298,284,271,451,260,227,317,237,178,8
OskarStark,76,228,46,18,7,3,0,54,50,90,81,577,474,111,149,303,114,94,210,163,40,39,48,87,54,9,22,44,36,45,30,26,76,69,237,210,173,154,185,164,70,72,56,99,52,334,142,358,130,109,56,2
weaverryan,18,5,42,95,119,17,54,28,63,92,31,47,72,76,108,67,83,93,70,30,56,35,64,55,125,122,26,96,185,72,43,56,64,67,76,78,89,56,63,159,126,88,131,92,225,331,54,45,98,127,64,0
stof,32,23,42,46,69,60,60,53,81,109,120,47,77,146,76,163,78,103,107,9,92,119,133,155,89,8,23,57,91,61,83,37,144,70,102,65,107,137,92,151,162,103,41,134,131,203,90,17,44,68,120,8
fabpot,108,156,124,152,153,207,106,595,395,232,84,153,131,73,131,94,68,57,107,170,155,315,143,110,70,69,138,74,27,91,272,174,88,125,73,192,169,76,135,101,77,43,83,110,90,275,48,145,51,76,50,3
javiereguiluz,73,137,154,114,99,186,71,23,156,143,93,53,85,97,59,152,103,54,76,50,58,111,113,113,60,47,68,61,74,54,101,100,72,138,50,129,135,88,101,53,70,103,115,88,115,92,44,71,76,98,107,14
smnandre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,7,24,128,48,124,157,170,179,0
derrabus,4,14,2,15,38,34,31,24,54,174,181,211,98,106,130,142,210,134,210,136,137,136,105,130,56,62,46,36,26,44,38,11,16,50,70,60,34,62,32,17,9,58,123,50,68,45,36,64,13,58,111,8
carsonbot,0,0,0,0,0,0,0,0,0,0,24,37,64,50,52,61,80,77,75,59,62,143,58,60,73,56,58,36,60,60,38,49,44,56,90,84,63,68,53,39,51,43,44,43,29,93,67,77,81,57,31,0
xabbuh,33,19,50,74,86,56,33,69,52,27,35,15,143,27,43,21,10,22,26,9,0,18,25,20,1,0,7,16,15,20,35,105,48,47,44,22,39,43,11,7,4,32,44,14,6,67,58,95,136,35,29,5
alexandre-daubois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,12,8,1,12,5,6,5,0,2,1,9,2,1,14,0,0,0,7,27,78,72,59,3,10,62,19,67,44,94,42,90,40,11,27,8
kbond,1,2,0,2,1,0,2,0,16,5,3,14,2,2,14,5,0,26,15,2,1,18,35,33,81,45,51,46,39,11,13,18,10,21,11,43,5,3,88,78,28,20,62,21,22,35,4,16,43,78,81,4
GromNaN,0,20,0,9,4,7,3,7,0,11,0,0,3,2,0,1,4,0,0,0,2,77,46,43,32,24,54,35,13,19,29,0,0,18,60,66,29,10,54,8,3,35,16,8,11,97,48,24,19,14,24,0
chalasr,26,33,28,23,8,34,1,7,11,44,46,46,39,83,173,84,68,56,134,82,44,74,31,51,49,6,38,48,53,51,99,28,60,69,59,97,33,21,26,20,41,32,9,18,19,42,6,35,16,5,18,0
lyrixx,34,30,38,9,2,10,26,41,9,33,26,33,3,11,1,7,25,3,22,39,51,62,7,9,0,2,8,7,4,27,22,62,7,1,8,12,4,44,35,18,5,21,62,44,0,26,9,0,2,22,33,5
wouterj,24,53,54,90,48,77,22,25,91,204,86,91,55,107,88,103,60,59,59,112,42,60,43,61,81,12,13,24,88,33,26,24,25,65,46,18,46,28,15,16,11,59,13,38,9,29,8,16,18,8,6,1
94noni,25,7,8,14,0,1,1,42,0,0,1,1,0,0,1,8,2,2,2,8,7,8,3,50,19,22,12,6,7,10,55,62,19,25,20,12,19,20,20,15,32,20,19,16,17,26,8,10,24,13,16,2
Nyholm,73,5,77,61,114,72,23,4,45,465,113,194,20,180,306,395,166,70,127,111,26,18,9,16,13,69,18,5,8,24,9,0,2,1,1,1,4,0,1,1,0,8,3,0,6,23,8,83,22,22,1,0
HypeMC,1,0,3,0,0,0,0,0,2,7,0,0,1,5,3,0,13,8,0,3,14,2,3,1,3,3,12,5,16,4,17,6,5,20,3,6,8,15,12,1,10,4,38,3,5,15,25,14,42,11,0,0
github-actions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,28,17,28,35,16,23,21,29,17,15,21,9,9,23,24,18,17,29,23,16,29,28,22,16,14,25,29,0,0,0,0,0
mtarld,0,13,5,12,0,9,1,0,0,0,0,10,11,1,2,9,0,0,0,0,0,0,9,1,5,1,2,3,53,5,1,0,0,57,0,1,7,0,5,8,4,8,0,27,26,17,19,34,19,2,5,0
WebMamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,7,12,0,4,7,6,18,33,11,7,19,24,17,11,10,7,22,14,8,2
HeahDude,19,218,36,121,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,0,0,0,0,0,0,0,16,27,28,69,8,74,74,7,12,7,0,4,0,1,1,21,27,26,60,2,7,0,0,0,0
dunglas,16,14,5,33,60,8,11,20,26,41,26,58,24,40,110,31,6,29,32,6,21,18,29,20,24,6,5,24,7,26,26,8,21,3,33,20,14,4,50,22,16,2,9,7,58,18,8,10,6,9,1,0
yceruto,31,13,11,7,11,69,15,5,38,2,25,3,7,16,7,21,5,0,2,1,7,16,8,10,7,2,16,0,36,0,2,10,1,21,2,10,4,5,8,8,8,4,8,25,6,9,18,23,11,2,19,2
ro0NL,36,20,17,15,13,30,43,34,48,29,6,2,25,43,34,23,20,21,40,87,21,23,6,38,34,20,14,1,3,6,12,6,13,2,2,19,5,37,33,23,5,27,12,4,15,19,7,21,3,9,6,0
norkunas,0,8,1,0,1,4,0,0,1,0,2,6,0,2,0,12,9,10,6,5,3,9,3,3,31,12,7,3,8,6,1,0,0,5,8,1,1,2,5,19,7,6,4,13,0,18,7,20,13,9,6,0
alamirault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,13,10,12,7,6,14,14,25,21,27,21,17,11,10,6,7,18,18,6,3,8,6,2,3
VincentLanglet,0,7,1,0,4,6,10,12,3,7,2,4,10,0,11,2,5,12,10,0,2,0,0,3,1,0,7,0,1,8,9,5,3,6,0,4,18,1,9,20,12,4,11,10,0,11,0,0,12,5,27,0
MatTheCat,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,9,22,10,18,8,49,62,15,6,17,13,10,2,3,20,3,8,0,3,10,0
fancyweb,58,55,25,35,11,9,6,12,5,2,3,8,30,16,3,32,3,12,0,0,3,4,58,58,40,38,11,28,0,0,0,0,0,1,9,10,21,18,12,9,7,12,13,1,11,24,5,9,4,0,3,0
Spomky,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,1,1,0,2,36,19,6,18,0,0,7,1,0,0,53,8,26,4,2,9,0,14,1,10,0,9,2,0
jrushlow (new),4,0,7,38,29,2,45,0,0,11,30,24,26,40,40,29,6,16,14,5,33,1,0,0,0,42,1,18,61,0,25,0,21,0,25,24,3,1,0,0,7,0,0,0,0,0,0,0,5,32,32,0
Jean-Beru (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,7,7,1,4,1,0,0,0,4,4,0,2,2,1,0,3,3,21,17,0,6,19,0,3,0
squrious (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,3,6,8,7,0
jmsche (churned),0,0,0,0,1,0,0,0,0,8,0,2,0,1,0,3,24,0,2,0,0,0,2,3,1,0,1,2,7,5,4,1,0,5,0,4,3,10,7,6,3,10,31,14,7,0,0,1,0,0,0,0
ruudk (churned),3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,30,17,1,2,5,7,0,0,0,1,4,4,1,3,2,1,1,1,1,50,7,1,1,1,2,8,1,5,6,2,3,1,2,0
welcoMattic (churned),0,2,0,2,1,0,1,0,15,1,0,1,0,12,10,29,66,5,17,1,4,34,21,14,8,4,4,17,2,7,13,12,5,10,17,1,0,3,31,3,1,6,1,2,18,9,2,6,5,0,1,0
