Submitter,Total_PRs,Status
nicolas-grekas,3957,
OskarStark,1510,
stof,1262,
weaverryan,1260,
fabpot,1235,
javiereguiluz,1060,
carsonbot,607,
derrabus,584,
alexandre-daubois,469,
chalasr,399,
kbond,390,
GromNaN,309,
wouterj,307,
xabbuh,268,
lyrixx,265,
dunglas,240,
github-actions,236,
94noni,217,
MatTheCat,212,
ro0NL,191,
alamirault,189,
HeahDude,154,
WebMamba,146,
fancyweb,131,
Spomky,113,
maxbeckers,109,
HypeMC,105,
Kocal,104,
mtarld,96,
jmsche,95,new
Koc,95,
yceruto,94,
VincentLanglet,89,
alexislefebvre,86,
welcoMattic,85,
alexander-schranz,,churned
