month,comments,commenter
"01-2020",0,0
"02-2020",0,0
"03-2020",0,0
"04-2020",0,0
"05-2020",2,2
"06-2020",2,2
"07-2020",1,1
"08-2020",0,0
"09-2020",0,0
"10-2020",9,2
"11-2020",16,2
"12-2020",1,1
"01-2021",12,2
"02-2021",30,3
"03-2021",11,3
"04-2021",4,1
"05-2021",2,2
"06-2021",0,0
"07-2021",7,2
"08-2021",76,3
"09-2021",2,1
"10-2021",60,5
"11-2021",125,3
"12-2021",65,3
"01-2022",241,3
"02-2022",70,3
"03-2022",118,5
"04-2022",166,5
"05-2022",50,3
"06-2022",85,3
"07-2022",87,5
"08-2022",89,5
"09-2022",89,6
"10-2022",44,8
"11-2022",122,5
"12-2022",90,3
"01-2023",132,7
"02-2023",101,10
"03-2023",61,9
"04-2023",16,4
"05-2023",49,7
"06-2023",31,4
"07-2023",50,6
"08-2023",33,6
"09-2023",69,6
"10-2023",24,4
"11-2023",89,5
"12-2023",7,3
"01-2024",8,4
"02-2024",24,3
"03-2024",2,1
"04-2024",17,2
