month,submissions,submitters
"01-2020",0,0
"02-2020",3,1
"03-2020",20,1
"04-2020",4,1
"05-2020",6,1
"06-2020",1,1
"07-2020",22,2
"08-2020",3,1
"09-2020",0,0
"10-2020",11,2
"11-2020",14,2
"12-2020",4,1
"01-2021",23,3
"02-2021",11,3
"03-2021",17,3
"04-2021",19,1
"05-2021",7,2
"06-2021",1,1
"07-2021",10,2
"08-2021",6,2
"09-2021",4,3
"10-2021",44,6
"11-2021",43,6
"12-2021",19,4
"01-2022",29,4
"02-2022",43,4
"03-2022",47,6
"04-2022",48,4
"05-2022",21,2
"06-2022",21,7
"07-2022",38,4
"08-2022",23,3
"09-2022",37,4
"10-2022",17,5
"11-2022",30,6
"12-2022",17,3
"01-2023",22,6
"02-2023",30,7
"03-2023",25,5
"04-2023",25,4
"05-2023",13,4
"06-2023",24,2
"07-2023",20,5
"08-2023",77,4
"09-2023",39,4
"10-2023",33,8
"11-2023",51,5
"12-2023",22,3
