Submitter,Total_PRs
olblak,415
lemeurherve,136
dduportal,95
mcwarman,32
loispostula,22
codesee-maps,19
jsoref,16
jneidel,10
dcoraboeuf,8
enrichman,8
naimo84,6
github-advanced-security,5
mavimo,5
v1v,4
aroberts87,4
hervelemeur,4
macedogm,3
matttrach,3
quotidian-ennui,2
frelon,2
Croissong,2
joaocc,1
oxr463,1
iamrajiv,1
pilere,1
jmMeessen,0
oleg-nenashev,0
jlevesy,0
jetersen,0
netlify,0
nmasse-itix,0
NotMyFault,0
gerardsegarra,0
halkeye,0
lafriks,0
garethjevans,0
samj1912,0
smerle33,0
timja,0
hi-artem,0
