Submitter,Total_PRs,Status
olblak,290,
dduportal,69,
lemeurherve,50,
mcwarman,34,
codesee-maps,19,
jsoref,16,
jneidel,10,
dcoraboeuf,8,
naimo84,6,
enrichman,6,
github-advanced-security,5,
mavimo,5,
hervelemeur,4,
v1v,4,
aroberts87,4,
matttrach,3,
Croissong,2,
quotidian-ennui,2,
frelon,2,
loispostula,2,
macedogm,1,
joaocc,1,
oxr463,1,
iamrajiv,1,
garethjevans,0,
NotMyFault,0,
jetersen,0,
jmMeessen,0,
lafriks,0,
netlify,0,
nmasse-itix,0,
jlevesy,0,
oleg-nenashev,0,
gerardsegarra,0,
pilere,0,
halkeye,0,
samj1912,0,
smerle33,0,
timja,0,
hi-artem,0,
