PR_ref,commenter,month
"jenkinsci/configuration-as-code-plugin/1249","oleg-nenashev","2020-01"
"jenkinsci/configuration-as-code-plugin/1249","timja","2020-01"
"jenkinsci/configuration-as-code-plugin/1249","jetersen","2020-01"
"jenkinsci/configuration-as-code-plugin/1249","oleg-nenashev","2020-01"
"jenkinsci/configuration-as-code-plugin/1249","jetersen","2020-01"
"jenkinsci/configuration-as-code-plugin/1249","timja","2020-01"
"jenkinsci/configuration-as-code-plugin/1249","sladyn98","2020-01"
"jenkinsci/configuration-as-code-plugin/1249","jetersen","2020-01"
"jenkinsci/environment-variable-page-decoration-plugin/5","tvon","2020-01"
"jenkinsci/jenkins/4432","alecharp","2020-01"
"jenkinsci/jenkins/4432","jeffret-b","2020-01"
"jenkinsci/jenkins/4432","timja","2020-01"
"jenkinsci/jenkins/4432","timja","2020-01"
"jenkinsci/jenkins/4432","oleg-nenashev","2020-01"
"jenkinsci/jenkins/4432","oleg-nenashev","2020-01"
"jenkinsci/jenkins/4432","jeffret-b","2020-01"
"jenkinsci/jenkins/4432","oleg-nenashev","2020-01"
"jenkinsci/kubernetes-plugin/685","jglick","2020-01"
"jenkinsci/kubernetes-plugin/685","jglick","2020-01"
"jenkinsci/kubernetes-plugin/685","jglick","2020-01"
"jenkinsci/kubernetes-plugin/685","jglick","2020-01"
"jenkinsci/kubernetes-plugin/685","jglick","2020-01"
"jenkinsci/kubernetes-plugin/685","Vlatombe","2020-01"
"jenkinsci/kubernetes-plugin/685","jglick","2020-01"
"jenkinsci/kubernetes-plugin/685","jglick","2020-01"
"jenkinsci/pipeline-build-step-plugin/42","dwnusbaum","2020-03"
"jenkinsci/github-branch-source-plugin/264","res0nance","2020-01"
"jenkinsci/github-branch-source-plugin/264","kshultzCB","2020-01"
"jenkinsci/github-branch-source-plugin/264","bitwiseman","2020-01"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-01"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-01"
"jenkinsci/periodicbackup-plugin/13","oleg-nenashev","2020-01"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-01"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-01"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-02"
"jenkinsci/periodicbackup-plugin/13","oleg-nenashev","2020-02"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-02"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-05"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-05"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-05"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-05"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-05"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-01"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-01"
"jenkinsci/periodicbackup-plugin/13","johnou","2020-01"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-01"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-01"
"jenkinsci/periodicbackup-plugin/13","maselvaraj","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","GLundh","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","jonsten","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","jonsten","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","jonsten","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","GLundh","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","GLundh","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","GLundh","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","jonsten","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","GLundh","2020-01"
"jenkinsci/downstream-build-cache-plugin/5","jonsten","2020-01"
"jenkinsci/atlassian-bitbucket-server-integration-plugin/106","jonesbusy","2020-01"
"jenkinsci/atlassian-bitbucket-server-integration-plugin/106","mhenschke-atl","2020-01"
"jenkinsci/atlassian-bitbucket-server-integration-plugin/106","jonesbusy","2020-01"
"jenkinsci/jep/260","mikecirioli","2020-01"
"jenkinsci/jep/260","oleg-nenashev","2020-01"
"jenkinsci/jep/260","daniel-beck","2020-01"
"jenkinsci/jep/260","daniel-beck","2020-01"
"jenkinsci/jep/260","daniel-beck","2020-01"
"jenkinsci/jep/260","oleg-nenashev","2020-01"
"jenkinsci/jep/260","oleg-nenashev","2020-01"
"jenkinsci/jep/260","oleg-nenashev","2020-01"
"jenkinsci/hashicorp-vault-plugin/67","jetersen","2020-01"
"jenkinsci/hashicorp-vault-plugin/66","jetersen","2020-01"
"jenkinsci/hashicorp-vault-plugin/66","marcoreni","2020-01"
"jenkinsci/hashicorp-vault-plugin/66","k0da","2020-01"
"jenkinsci/hashicorp-vault-plugin/66","jetersen","2020-01"
"jenkinsci/hashicorp-vault-plugin/66","k0da","2020-01"
"jenkinsci/hashicorp-vault-plugin/66","jetersen","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","chriskilding","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","jetersen","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","jetersen","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","chriskilding","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","jetersen","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","jetersen","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","chriskilding","2020-01"
"jenkinsci/aws-secrets-manager-credentials-provider-plugin/16","chriskilding","2020-01"
"jenkinsci/plugin-compat-tester/222","fcojfernandez","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","raul-arabaolaza","2020-02"
"jenkinsci/plugin-compat-tester/222","raul-arabaolaza","2020-01"
"jenkinsci/plugin-compat-tester/222","raul-arabaolaza","2020-01"
"jenkinsci/plugin-compat-tester/222","raul-arabaolaza","2020-01"
"jenkinsci/plugin-compat-tester/222","raul-arabaolaza","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","fcojfernandez","2020-01"
"jenkinsci/plugin-compat-tester/222","MRamonLeon","2020-01"
"jenkinsci/plugin-compat-tester/222","MRamonLeon","2020-01"
"jenkinsci/plugin-compat-tester/222","MRamonLeon","2020-01"
"jenkinsci/plugin-compat-tester/222","MRamonLeon","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-01"
"jenkinsci/plugin-compat-tester/222","varyvol","2020-01"
"jenkinsci/plugin-compat-tester/222","varyvol","2020-01"
"jenkinsci/plugin-compat-tester/222","varyvol","2020-01"
"jenkinsci/plugin-compat-tester/222","fcojfernandez","2020-01"
"jenkinsci/plugin-compat-tester/222","raul-arabaolaza","2020-01"
"jenkinsci/plugin-compat-tester/222","oleg-nenashev","2020-01"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-02"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-02"
"jenkinsci/plugin-compat-tester/222","raul-arabaolaza","2020-02"
"jenkinsci/plugin-compat-tester/222","oleg-nenashev","2020-02"
"jenkinsci/plugin-compat-tester/222","bmunozm","2020-02"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","uhafner","2020-01"
"jenkinsci/analysis-model/274","andreydanin","2020-01"
"jenkinsci/analysis-model/274","andreydanin","2020-01"
"jenkinsci/analysis-model/274","andreydanin","2020-01"
"jenkinsci/analysis-model/274","andreydanin","2020-01"
"jenkinsci/analysis-model/274","andreydanin","2020-01"
"jenkinsci/analysis-model/274","andreydanin","2020-01"
"jenkinsci/echarts-api-plugin/31","andipabst","2020-01"
"jenkinsci/echarts-api-plugin/31","uhafner","2020-01"
"jenkinsci/echarts-api-plugin/31","andipabst","2020-01"
"jenkinsci/echarts-api-plugin/31","uhafner","2020-01"
"jenkinsci/echarts-api-plugin/31","uhafner","2020-01"
"jenkinsci/echarts-api-plugin/31","uhafner","2020-01"
"jenkinsci/pipeline-examples/102","vazhnov","2021-07"
"jenkinsci/google-compute-engine-plugin/176","jsoref","2020-01"
"jenkinsci/google-compute-engine-plugin/176","stephenashank","2020-01"
"jenkinsci/google-compute-engine-plugin/173","stephenashank","2020-01"
"jenkinsci/google-compute-engine-plugin/173","jsoref","2020-01"
"jenkinsci/google-compute-engine-plugin/173","daniel-beck","2020-01"
"jenkinsci/google-compute-engine-plugin/173","jsoref","2020-01"
"jenkinsci/azure-storage-plugin/169","gavinfish","2020-01"
"jenkinsci/azure-storage-plugin/169","yesdevnull","2020-01"
"jenkinsci/azure-storage-plugin/169","gavinfish","2020-01"
"jenkinsci/azure-storage-plugin/169","yesdevnull","2020-01"
"jenkinsci/azure-storage-plugin/169","yesdevnull","2020-01"
"jenkinsci/azure-storage-plugin/169","yesdevnull","2020-09"
"jenkinsci/azure-storage-plugin/169","gavinfish","2020-01"
"jenkinsci/artifactory-plugin/40","delphym","2020-01"
"jenkinsci/groovy-events-listener-plugin/55","markjacksonfishing","2020-01"
"jenkinsci/openstack-cloud-plugin/285","olivergondza","2020-01"
"jenkinsci/openstack-cloud-plugin/285","timja","2020-01"
"jenkinsci/role-strategy-plugin/122","oleg-nenashev","2020-01"
"jenkinsci/role-strategy-plugin/122","timja","2020-01"
"jenkinsci/role-strategy-plugin/122","oleg-nenashev","2020-01"
"jenkinsci/role-strategy-plugin/122","timja","2020-01"
"jenkinsci/role-strategy-plugin/122","oleg-nenashev","2020-01"
"jenkinsci/saml-plugin/83","kuisathaverat","2020-03"
"jenkinsci/script-security-plugin/284","jetersen","2020-01"
"jenkinsci/script-security-plugin/284","timja","2020-01"
"jenkinsci/script-security-plugin/284","timja","2020-01"
"jenkinsci/script-security-plugin/284","timja","2020-01"
"jenkinsci/script-security-plugin/284","dwnusbaum","2020-01"
"jenkinsci/script-security-plugin/284","dwnusbaum","2020-01"
"jenkinsci/secure-requester-whitelist-plugin/6","jglick","2020-01"
"jenkinsci/ssh-credentials-plugin/49","jvz","2020-01"
"jenkinsci/ssh-credentials-plugin/49","timja","2020-01"
"jenkinsci/ssh-credentials-plugin/49","jvz","2020-01"
"jenkinsci/ssh-credentials-plugin/49","timja","2020-01"
"jenkinsci/ssh-credentials-plugin/49","timja","2020-01"
"jenkinsci/ssh-credentials-plugin/49","jvz","2020-01"
"jenkinsci/ssh-credentials-plugin/49","timja","2020-01"
"jenkinsci/ssh-slaves-plugin/173","timja","2020-01"
"jenkinsci/ssh-slaves-plugin/173","timja","2020-01"
"jenkinsci/ssh-slaves-plugin/173","kuisathaverat","2020-01"
"jenkinsci/ssh-slaves-plugin/173","timja","2020-01"
