month,submissions,submitters
"01-2020",175,27
"02-2020",167,27
"03-2020",190,26
"04-2020",180,29
"05-2020",196,35
"06-2020",156,29
"07-2020",180,26
"08-2020",212,30
"09-2020",250,28
"10-2020",194,29
"11-2020",166,25
"12-2020",122,16
"01-2021",184,28
"02-2021",221,35
"03-2021",167,31
"04-2021",159,30
"05-2021",163,37
"06-2021",144,31
"07-2021",202,36
"08-2021",142,28
"09-2021",182,34
"10-2021",196,45
"11-2021",236,40
"12-2021",189,31
"01-2022",194,35
"02-2022",182,35
"03-2022",217,42
"04-2022",216,44
"05-2022",154,44
"06-2022",168,40
"07-2022",177,42
"08-2022",252,49
"09-2022",331,60
"10-2022",204,46
