Submitter,Total_PRs,Status
basil,1527,
NotMyFault,1153,
MarkEWaite,1085,
lemeurherve,927,
dduportal,705,
jglick,388,
timja,271,
smerle33,258,
timja-bot,199,new
daniel-beck,183,
jonesbusy,175,
uhafner,138,
alecharp,135,
jtnord,129,
sghill-rewrite,126,new
janfaracik,122,
halkeye,104,
kmartens27,103,
gounthar,101,
mawinter69,97,
Vlatombe,97,
StefanSpieker,87,
jmMeessen,83,
zbynek,64,
olamy,63,
krisstern,63,
dwnusbaum,56,
Dohbedoh,55,
froque,55,
rahulsom,54,new
offa,53,
JLLeitschuh,48,
Jagrutiti,46,new
mPokornyETM,46,
c00ler,45,
jetersen,,churned
simonsymhoven,,churned
repolevedavaj,,churned
DuMaM,,churned
TobiX,,churned
