,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
MarkEWaite,149,220,177,218,376,217,147,166,186,237,136,121,105,145,130,153,104,122,150,118,115,207,95,114,192,131,151,77,189,91,124,158,233,178,238,182,221,167,181,231,187,157,149,154,201,226,228,153,172,70,130,180,129,84,78,96,73
dduportal,0,0,0,0,28,2,1,0,0,0,0,7,56,33,33,82,28,57,71,64,56,129,130,59,115,117,128,134,149,137,155,85,183,157,157,171,93,54,135,224,264,197,105,183,315,244,127,84,142,93,82,99,102,188,109,110,135
timja,268,338,269,309,272,265,337,267,163,238,310,316,274,260,285,196,340,179,204,283,321,341,387,362,461,312,340,231,344,250,285,237,302,247,146,126,91,112,197,140,239,141,69,193,150,114,98,53,88,55,92,99,62,113,208,108,127
jglick,199,197,204,186,121,325,324,155,202,411,256,121,174,153,215,126,249,215,146,88,172,195,369,321,311,223,328,142,310,289,354,253,134,198,284,129,170,116,108,135,194,108,151,142,146,176,57,116,108,75,115,63,165,36,91,62,128
lemeurherve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,60,159,176,124,81,100,144,134,49,131,195,146,139,127,114,116,120,96,84,78,88,149,416,103,28,125,138,47,92,49,146,22,1,0
basil,0,56,6,7,19,21,21,5,2,28,11,26,26,25,86,59,114,99,87,97,109,84,124,383,228,139,403,473,313,259,309,306,270,171,240,144,458,179,247,285,303,311,124,208,160,144,84,44,36,18,137,72,68,27,57,78,93
jtnord,20,61,30,25,21,15,16,16,14,20,31,23,25,52,44,56,46,109,24,63,64,107,88,40,129,84,59,67,46,43,74,109,56,28,41,56,85,61,104,95,69,57,57,74,165,129,16,26,20,9,38,38,71,47,57,30,91
NotMyFault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,25,51,51,95,180,160,92,87,233,165,154,216,134,108,102,105,245,175,134,174,103,93,66,82,46,59,91,76,81,40,22,15,9,5,7
kmartens27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,47,30,45,103,184,71,56,307,151,202,95,34,66,89,98,79,41,97,60,55,96,37,35,37,8,0,20,31
daniel-beck,49,276,264,200,263,101,163,148,160,139,136,77,60,73,222,136,152,89,37,65,77,68,118,93,143,156,107,55,92,122,271,199,121,81,94,84,92,66,119,82,34,22,57,128,85,74,22,26,24,33,36,61,33,29,32,55,43
krisstern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,37,6,6,4,14,16,35,54,7,17,97,146,49,106,133,19,38,37,22,17,37,52,55,26,20,20,29,85,50,35,28
gounthar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2,3,1,15,49,74,27,47,11,8,8,55,43,139,36,27,48,45,25,11,15,38,29,29,65,41,42,30
