Submitter,Total_PRs
basil,2606
MarkEWaite,2166
dduportal,2081
timja,1638
lemeurherve,1613
jglick,1587
NotMyFault,1414
kmartens27,1311
jtnord,960
daniel-beck,846
krisstern,716
alecharp,596
uhafner,542
gounthar,495
aneveux,334
dwnusbaum,312
Vlatombe,300
Jagrutiti,274
olamy,273
codecov,272
smerle33,259
halkeye,213
github-code-scanning,211
github-actions,190
mawinter69,188
zbynek,178
mPokornyETM,162
car-roll,148
janfaracik,148
kinow,143
AppVeyorBot,142
codeclimate,141
Vandit1604,141
c00ler,135
bguerin,134
