Submitter,Total_PRs,Status
basil,2090,
MarkEWaite,2042,
dduportal,1939,
timja,1510,
jglick,1451,
lemeurherve,1392,
NotMyFault,1284,
kmartens27,1012,
jtnord,853,
daniel-beck,715,
krisstern,658,
alecharp,598,
gounthar,446,
uhafner,417,
aneveux,329,
dwnusbaum,328,
olamy,271,
Vlatombe,270,
smerle33,268,
mawinter69,243,
Jagrutiti,243,
zbynek,188,
kinow,183,
judovana,170,
halkeye,168,
jonesbusy,162,
janfaracik,156,
car-roll,139,
AppVeyorBot,138,
bguerin,134,
damianszczepanik,127,
pdk27,121,new
LizGaudet,116,new
sghill,114,new
rsandell,106,
mPokornyETM,,churned
c00ler,,churned
Vandit1604,,churned
b-fisher-cb,,churned
