PR_ref,commenter,month
"jenkinsci/cloudbees-folder-plugin/207","basil","2022-03"
"jenkinsci/cloudbees-folder-plugin/207","basil","2022-03"
"jenkinsci/cloudbees-folder-plugin/207","jtnord","2022-03"
"jenkinsci/cloudbees-folder-plugin/207","jtnord","2022-03"
"jenkinsci/cloudbees-folder-plugin/207","jtnord","2022-03"
"jenkinsci/cloudbees-folder-plugin/207","jtnord","2022-03"
"jenkinsci/cloudbees-folder-plugin/207","jtnord","2022-03"
"jenkinsci/jenkins/6237","basil","2022-02"
"jenkinsci/plugin-compat-tester/345","jglick","2022-07"
"jenkinsci/jenkins/6236","jtnord","2022-01"
"jenkinsci/jenkins/6236","timja","2022-02"
"jenkinsci/jenkins/6236","jtnord","2022-02"
"jenkinsci/jenkins/6236","timja","2022-02"
"jenkinsci/jenkins/6236","jtnord","2022-02"
"jenkinsci/jenkins/6236","timja","2022-02"
"jenkinsci/jenkins/6236","MarkEWaite","2022-02"
"jenkinsci/jenkins/6236","timja","2022-02"
"jenkinsci/jenkins/6236","timja","2022-05"
"jenkinsci/jenkins/6236","basil","2022-09"
"jenkinsci/jenkins/6236","timja","2022-09"
"jenkinsci/jenkins/6236","jtnord","2022-09"
"jenkinsci/jenkins/6236","basil","2022-09"
"jenkinsci/jenkins/6236","basil","2022-09"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","jtnord","2022-02"
"jenkinsci/winp/69","jtnord","2022-09"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","oleg-nenashev","2022-01"
"jenkinsci/winp/69","oleg-nenashev","2022-01"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","jtnord","2022-01"
"jenkinsci/winp/69","basil","2022-09"
"jenkinsci/swarm-plugin/402","basil","2022-01"
"jenkinsci/gitlab-api-plugin/6","didacrarbones","2022-02"
"jenkinsci/gitlab-api-plugin/6","mymarche","2022-02"
"jenkinsci/gitlab-api-plugin/6","didacrarbones","2022-02"
"jenkinsci/gitlab-api-plugin/6","jetersen","2022-02"
"jenkinsci/gitlab-api-plugin/6","mymarche","2022-02"
