user,PR
"basil",383
"kmartens27",347
"MarkEWaite",189
"jglick",138
"lemeurherve",106
"NotMyFault",102
"krisstern",92
"dduportal",82
"Vandit1604",76
"daniel-beck",75
"jtnord",68
"uhafner",62
"c00ler",60
"timja",59
"mPokornyETM",57
"Vlatombe",43
"halkeye",36
"Jagrutiti",34
"gounthar",32
"alyssat",31
"b-fisher-cb",28
"Cr1t-GYM",22
"github-code-scanning",21
"codecov",19
"fredg02",18
"ykhandelwal913",16
"car-roll",16
"dwnusbaum",15
"jmMeessen",14
"jetersen",14
"zbynek",13
"rsandell",13
"AppVeyorBot",13
"lloydchang",12
"g3n35i5",12
"codeclimate",12
"Wadeck",12
"olivergondza",10
"michael-doubez",10
"evahabeeballah",10
"bsmoyers",10
"allancth",10
"KalleOlaviNiemitalo",10
"samrocketman",9
"chriskilding",9
"sushobhit-lt",8
"sujay2306",8
"smerle33",8
"olamy",8
"kuisathaverat",8
"github-actions",8
"chickenkiller",8
"NiklasEi",8
"dennisgu1",7
"alecharp",7
"sbuhary",6
"mifitous",6
"jenkins-io-components",6
"jcroall",6
"janfaracik",6
"cyrille-leclerc",6
"Kevin-CB",6
"microscotch",5
"julioguereca",5
"julieheard",5
"jonesbusy",5
"elupus",5
"yaroslavafenkin",4
"rinconedgar",4
"maxlaverse",4
"hector-vido",4
"dheerajodha",4
"DaGeRe",4
"oleg-nenashev",3
"npotluri-rh",3
"mtsmfm",3
"markyjackson-taulia",3
"mark-reiche",3
"freyam",3
"ferkulat",3
"dylemma",3
"amuniz",3
"PatrickGhezali",3
"Bilgetz",3
"AndriiChuzhynov",3
"4x0v7",3
"3asm",3
"yuezhuangshi",2
"yakirk",2
"vihaanthora",2
"tdraebing",2
"slide",2
"slandelle",2
"sgleske-ias",2
"rvelagam",2
"rpaasche",2
"pashcan",2
"mukul-kr",2
"mawinter69",2
"lakshmishreea122003",2
"jprinet",2
"jimklimov",2
"felfert",2
"edwardprzeniczny",2
"damianszczepanik",2
"bitwiseman",2
"aneveux",2
"Pesa",2
"Nuc7ear",2
"Greybird",2
"Bevigil",2
"AlexanderStohr",2
"yonahd",1
"wolfs",1
"welandaz",1
"vhegde2017",1
"tomasbjerre",1
"tasssko",1
"sumoanema",1
"steven-terrana",1
"srinivasgenesis",1
"sorin-florea",1
"sig-cpotts",1
"shindouj",1
"shamil",1
"sedstef",1
"samip5",1
"rkrzewski",1
"riywo",1
"rantoniuk",1
"ps895r",1
"pmconrad",1
"plescaevelyn",1
"phillip-elliott",1
"omehegan",1
"offa",1
"nbelliot",1
"mrdailey99",1
"mobidroid",1
"mikecirioli",1
"marcuzzuu",1
"locmai",1
"lakshya8066",1
"koraytugay",1
"komkomissarov",1
"justnoxx",1
"jsmith-cb",1
"jragula-zs",1
"jonathanpdx",1
"jleon33",1
"isaacsatish",1
"imonteroperez",1
"hervelemeur",1
"gmcdonald",1
"gcuisinier",1
"garethjevans",1
"gab1one",1
"froque",1
"escoem",1
"didiez",1
"deadly-panda",1
"cronik",1
"ckreisl",1
"camueller",1
"brosmar",1
"bikramj",1
"bguerin",1
"benipeled",1
"baffles",1
"azwcl",1
"ashikka",1
"aplex",1
"ankk13",1
"adityasaky",1
"acaprari",1
"Waschndolos",1
"Unpublished",1
"TimSVector",1
"Susmita-Dey",1
"Stericson",1
"Reamer",1
"PiotrMarcinczyk-TomTom",1
"MondalSayantan",1
"Lovakush",1
"KitioFofack",1
"KenProle",1
"JustinLewisNR",1
"Erwyn",1
"Dohbedoh",1
"DavyJones2010",1
