org,repository,url,state,created_at,merged_at,user.login,title
"jenkinsci","branch-api-plugin","https://github.com/jenkinsci/branch-api-plugin/pull/254","open","2021-06-01T10:46:28Z",,"cobexer","[JENKINS-55348] Use supplied object display names for the job"
"jenkinsci","lib-jenkins-maven-embedder","https://github.com/jenkinsci/lib-jenkins-maven-embedder/pull/38","open","2021-06-10T08:47:24Z",,"aloubyansky","Upgrade to Maven 3.8.1 and related dependency versions"
"jenkinsci","synopsys-coverity-plugin","https://github.com/jenkinsci/synopsys-coverity-plugin/pull/14","closed","2021-06-07T15:34:19Z","2021-06-07T18:21:19Z","rottebds","feat: Adding the markUnstable field"
"jenkinsci","docker-commons-plugin","https://github.com/jenkinsci/docker-commons-plugin/pull/91","closed","2021-06-03T21:55:00Z","2022-08-23T09:23:23Z","jglick","Deleting `CredentialsBindingHandler.toBindings`"
"jenkinsci","ldap-plugin","https://github.com/jenkinsci/ldap-plugin/pull/97","open","2021-06-13T17:38:45Z",,"AnalogJ","[NEEDS REVIEW] Fixes JENKINS-14520 - LDAP StartTLS support"
"jenkinsci","checks-api-plugin","https://github.com/jenkinsci/checks-api-plugin/pull/115","open","2021-06-10T09:49:13Z",,"XiongKezhi","Automate cd."
"jenkinsci","ssh-agent-plugin","https://github.com/jenkinsci/ssh-agent-plugin/pull/57","closed","2021-06-10T14:47:35Z","2021-06-14T21:00:57Z","mcsage","Update README.md - Jenkinsfile Example - With keyscan to prevent ""Host key verification failed"" errors"
"jenkinsci","bom","https://github.com/jenkinsci/bom/pull/551","closed","2021-06-12T19:31:02Z","2022-02-03T23:22:57Z","basil","Add Email Extension to the managed set"
"jenkinsci","durable-task-plugin","https://github.com/jenkinsci/durable-task-plugin/pull/139","closed","2021-06-08T04:21:03Z","2021-07-15T16:36:27Z","car-roll","[JENKINS-27617] Add support for windows binary"
"jenkinsci","aws-credentials-plugin","https://github.com/jenkinsci/aws-credentials-plugin/pull/88","closed","2021-06-10T00:09:32Z","2021-10-06T14:54:29Z","hitesh22","[JENKINS-65105]: Support for externalID when using role"
"jenkinsci","bom","https://github.com/jenkinsci/bom/pull/552","closed","2021-06-12T19:38:12Z","2021-12-17T21:10:15Z","basil","Add Lockable Resources to the managed set"
"jenkinsci","script-security-plugin","https://github.com/jenkinsci/script-security-plugin/pull/352","closed","2021-06-13T16:56:27Z","2021-11-16T18:44:14Z","basil","Make `SecureGroovyScriptTest` work in PCT with Lockable Resources"
"jenkinsci","workflow-multibranch-plugin","https://github.com/jenkinsci/workflow-multibranch-plugin/pull/128","closed","2021-06-12T19:17:00Z","2021-11-30T04:22:50Z","basil","Loosening `JobPropertyStepTest#configRoundTripBuildDiscarder`."
"jenkinsci","categorized-view-plugin","https://github.com/jenkinsci/categorized-view-plugin/pull/27","closed","2021-06-12T17:40:02Z","2021-11-29T22:53:15Z","basil","Migrate from `hudson.util.CaseInsensitiveComparator` to Java `String.CASE_INSENSITIVE_ORDER`"
"jenkinsci","xcode-plugin","https://github.com/jenkinsci/xcode-plugin/pull/111","closed","2021-06-03T21:57:45Z","2021-11-26T22:46:17Z","jglick","Deleting `CredentialsBindingHandler.toBindings`"
"jenkinsci","rebuild-plugin","https://github.com/jenkinsci/rebuild-plugin/pull/67","closed","2021-06-13T22:08:59Z","2021-06-15T11:38:53Z","basil","Remove unnecessary Guava dependency"
"jenkinsci","build-failure-analyzer-plugin","https://github.com/jenkinsci/build-failure-analyzer-plugin/pull/141","closed","2021-06-04T16:51:40Z","2021-09-24T14:28:03Z","jamesrobson-secondmind","Integration with the Metrics plugin"
"jenkinsci","artifact-manager-s3-plugin","https://github.com/jenkinsci/artifact-manager-s3-plugin/pull/215","closed","2021-06-14T20:32:28Z","2021-11-17T22:42:39Z","jglick","Update jclouds, picking up Guice from core"
"jenkinsci","pipeline-maven-plugin","https://github.com/jenkinsci/pipeline-maven-plugin/pull/344","closed","2021-06-07T07:31:46Z","2021-09-10T16:35:47Z","MatthiasSchmalz","[JENKINS-65800] Option to disable only fingerprint produced files or only archive"
"jenkinsci","zap-pipeline-plugin","https://github.com/jenkinsci/zap-pipeline-plugin/pull/25","closed","2021-06-15T09:39:40Z","2021-06-28T10:34:47Z","bhecquet","Allow to specify more configuration to ZAP (certificates and configurations)"
"jenkinsci","gitea-plugin","https://github.com/jenkinsci/gitea-plugin/pull/29","closed","2021-06-03T20:09:03Z","2021-10-27T08:53:26Z","justusbunsi","Remove unnecessary branch retrieval loop (JENKINS-65796)"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5561","closed","2021-06-06T01:02:03Z","2021-09-20T08:42:42Z","basil","Remove Akuma"
"jenkinsci",".github","https://github.com/jenkinsci/.github/pull/52","closed","2021-06-07T14:58:18Z","2021-06-07T15:46:09Z","oleg-nenashev","Remove 'master' reference in the default PR template, reference the t…"
"jenkinsci","android-emulator-plugin","https://github.com/jenkinsci/android-emulator-plugin/pull/83","closed","2021-06-14T09:20:12Z","2021-06-15T02:16:01Z","sorobon","Tables to Divs migration in order to be compatible with new jenkins v…"
"jenkinsci","windows-slave-installer-module","https://github.com/jenkinsci/windows-slave-installer-module/pull/69","closed","2021-06-07T21:34:09Z","2021-10-17T14:36:53Z","ronniezhou","Correct Automatic Upgrade step in README.md"
"jenkinsci","acceptance-test-harness","https://github.com/jenkinsci/acceptance-test-harness/pull/669","closed","2021-06-04T22:20:55Z","2021-10-13T13:42:46Z","jtnord","Fix the NodeLabelParameterPluginTests"
"jenkinsci","helm-charts","https://github.com/jenkinsci/helm-charts/pull/391","closed","2021-06-07T18:07:22Z","2021-10-10T12:18:11Z","julianxhokaxhiu","Fix httpsKeyStore mount"
"jenkinsci","aws-credentials-plugin","https://github.com/jenkinsci/aws-credentials-plugin/pull/87","closed","2021-06-03T21:52:23Z","2021-10-01T12:53:48Z","jglick","Deleting `CredentialsBindingHandler.toBindings`"
"jenkinsci","neoload-plugin","https://github.com/jenkinsci/neoload-plugin/pull/18","closed","2021-06-01T15:46:51Z","2021-06-04T11:17:11Z","lcharlois-neotys","FIX: UI was broken since Jenkins version 2.263"
"jenkinsci","plugin-pom","https://github.com/jenkinsci/plugin-pom/pull/419","closed","2021-06-09T08:41:47Z","2021-07-19T17:27:23Z","daniel-beck","Require Maven 3.8.1"
"jenkinsci","vectorcast-execution-plugin","https://github.com/jenkinsci/vectorcast-execution-plugin/pull/35","closed","2021-06-11T13:58:53Z","2021-06-14T18:23:41Z","nbelliot","VectorCAST/Execution 0.69"
"jenkinsci","pipeline-maven-plugin","https://github.com/jenkinsci/pipeline-maven-plugin/pull/342","closed","2021-06-01T14:13:46Z","2021-09-09T19:14:27Z","jtnord","Fix layout of admin monitor"
"jenkinsci","bom","https://github.com/jenkinsci/bom/pull/553","closed","2021-06-12T19:44:40Z","2021-06-20T17:40:07Z","basil","Add Pipeline Graph Analysis to the managed set"
"jenkinsci","pipeline-utility-steps-plugin","https://github.com/jenkinsci/pipeline-utility-steps-plugin/pull/102","closed","2021-06-15T07:28:28Z","2021-08-31T12:30:32Z","offa","Hash verification steps added"
"jenkinsci","pipeline-utility-steps-plugin","https://github.com/jenkinsci/pipeline-utility-steps-plugin/pull/101","closed","2021-06-11T11:18:25Z","2021-08-31T12:25:58Z","offa","Deprecated API usages replaced"
"jenkinsci","mission-control-view-plugin","https://github.com/jenkinsci/mission-control-view-plugin/pull/9","open","2021-06-06T12:23:06Z",,"Bananeweizen","Use displayName for job status (JENKINS-65810)"
"jenkinsci","gitlab-branch-source-plugin","https://github.com/jenkinsci/gitlab-branch-source-plugin/pull/145","closed","2021-06-04T09:53:21Z","2021-08-30T07:29:31Z","cpt1gl0","Delay webhook trigger events to avoid GitLab cache"
"jenkinsci","stapler","https://github.com/jenkinsci/stapler/pull/243","closed","2021-06-03T17:59:50Z","2021-08-15T20:09:23Z","basil","Bump Jetty from 6.1.11 to 9.4.41.v20210516"
"jenkinsci","swarm-plugin","https://github.com/jenkinsci/swarm-plugin/pull/340","closed","2021-06-11T05:54:59Z","2021-06-11T14:24:45Z","offa","Case insensitive YAML enums"
"jenkinsci","jenkinsfile-runner","https://github.com/jenkinsci/jenkinsfile-runner/pull/525","closed","2021-06-14T23:48:46Z","2021-06-15T22:59:17Z","jglick","[JEP-305] - Publish incremental releases for pull requests"
"jenkinsci","active-choices-plugin","https://github.com/jenkinsci/active-choices-plugin/pull/48","closed","2021-06-07T07:57:55Z","2021-08-20T00:29:26Z","kinow","Upgrade dependencies"
"jenkinsci","throttle-concurrent-builds-plugin","https://github.com/jenkinsci/throttle-concurrent-builds-plugin/pull/127","closed","2021-06-05T23:14:38Z","2021-06-20T16:18:18Z","lluccia","fixes checkboxes layout for categories selection on job options"
"jenkinsci","stapler","https://github.com/jenkinsci/stapler/pull/242","closed","2021-06-03T16:32:20Z","2021-08-15T20:10:09Z","basil","Bump Mockito from 1.8.5 to 3.11.0"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5569","closed","2021-06-11T20:56:05Z","2021-08-03T12:28:45Z","StefanSpieker","Replaced own implementation with standard Java function (String.CASE_INSENSITIVE_ORDER)"
"jenkinsci","pipeline-model-definition-plugin","https://github.com/jenkinsci/pipeline-model-definition-plugin/pull/421","closed","2021-06-05T15:01:05Z","2021-07-27T19:40:49Z","jglick","[JENKINS-44860] Adapting `CredentialWrapperStepTest` to `usernameSecret`"
"jenkinsci","bitbucket-branch-source-plugin","https://github.com/jenkinsci/bitbucket-branch-source-plugin/pull/457","closed","2021-06-08T09:16:24Z","2021-07-23T08:31:55Z","yoerg","Retry idempotent requests to Bitbucket server"
"jenkinsci","cloudbees-folder-plugin","https://github.com/jenkinsci/cloudbees-folder-plugin/pull/183","closed","2021-06-12T17:41:13Z","2021-07-23T09:19:23Z","basil","Migrate from `hudson.util.CaseInsensitiveComparator` to Java `String.CASE_INSENSITIVE_ORDER`"
"jenkinsci","audit-trail-plugin","https://github.com/jenkinsci/audit-trail-plugin/pull/52","closed","2021-06-11T10:16:39Z","2021-06-15T18:19:45Z","chiefus","[JENKINS-65868] Added remote IP in log entry for Audit Trail logs"
"jenkinsci","checks-api-plugin","https://github.com/jenkinsci/checks-api-plugin/pull/114","closed","2021-06-10T03:40:36Z","2021-06-10T06:51:41Z","XiongKezhi","Fix test failure in status integration test."
"jenkinsci","kubernetes-credentials-plugin","https://github.com/jenkinsci/kubernetes-credentials-plugin/pull/35","closed","2021-06-10T11:59:04Z","2021-07-15T11:59:01Z","Vlatombe","Update kubernetes-client-api to 5.4.1"
"jenkinsci","git-client-plugin","https://github.com/jenkinsci/git-client-plugin/pull/713","open","2021-06-09T13:27:19Z",,"ababushk","[JENKINS-65838] Do not set proxy authentication if username and/or password are not null but empty strings"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5566","closed","2021-06-10T16:33:20Z","2021-07-09T16:38:04Z","basil","Removing `SubClassGenerator`"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5548","closed","2021-06-01T14:45:01Z","2021-06-08T08:41:40Z","ngg","[JENKINS-65195, JENKINS-64347] Fixes to ProcessTree implementation on Darwin"
"jenkinsci","analysis-pom-plugin","https://github.com/jenkinsci/analysis-pom-plugin/pull/283","closed","2021-06-15T16:47:46Z","2021-07-05T18:14:46Z","simonsymhoven","Bump jenkins version from 2.249.1 to 2.263.1 LTS"
"jenkinsci","helm-charts","https://github.com/jenkinsci/helm-charts/pull/383","closed","2021-06-01T09:47:24Z","2021-07-06T19:18:15Z","sunoce","Fixed bug: wrong type of activeDeadlineSeconds in jenkins-backup-cron…"
"jenkinsci","git-plugin","https://github.com/jenkinsci/git-plugin/pull/1093","closed","2021-06-11T20:35:47Z","2021-06-12T20:34:21Z","basil","Loosening `ModernScmTest`."
"jenkinsci","github-coverage-reporter-plugin","https://github.com/jenkinsci/github-coverage-reporter-plugin/pull/14","closed","2021-06-10T10:58:54Z","2021-07-02T07:02:51Z","vivekthangathurai","Don't use access token in params"
"jenkinsci","acceptance-test-harness","https://github.com/jenkinsci/acceptance-test-harness/pull/667","closed","2021-06-04T17:41:11Z","2021-07-01T08:17:13Z","jtnord","Adapt to changes in validate text"
"jenkinsci","atlassian-jira-software-cloud-plugin","https://github.com/jenkinsci/atlassian-jira-software-cloud-plugin/pull/50","closed","2021-06-10T00:21:35Z","2021-07-01T00:05:14Z","nsurendran1991","added changes for sending freestyle project build information to Jira"
"jenkinsci","git-plugin","https://github.com/jenkinsci/git-plugin/pull/1089","closed","2021-06-04T08:39:53Z","2021-06-29T17:21:15Z","scddev","JENKINS-65798 use stream provided by jgit directly"
"jenkinsci","support-core-plugin","https://github.com/jenkinsci/support-core-plugin/pull/292","closed","2021-06-15T03:16:31Z","2021-06-30T01:32:43Z","Dohbedoh","[JENKINS-65854] Anonymize open File Descriptor paths"
"jenkinsci","datadog-plugin","https://github.com/jenkinsci/datadog-plugin/pull/218","closed","2021-06-15T09:26:58Z","2021-06-15T12:30:55Z","drodriguezhdez","Add `_dd.origin` tag to Jenkins traces"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5559","closed","2021-06-05T20:44:20Z","2021-06-14T15:45:45Z","basil","Remove StAX from WAR"
"jenkinsci","atlassian-jira-software-cloud-plugin","https://github.com/jenkinsci/atlassian-jira-software-cloud-plugin/pull/52","closed","2021-06-15T05:51:38Z","2021-06-29T01:51:16Z","mboudreau","Specify maven compiler java version in pom.xml"
"jenkinsci","tfs-plugin","https://github.com/jenkinsci/tfs-plugin/pull/242","open","2021-06-04T11:06:14Z",,"trivalik","add null check, that on pipeline fail by syntax error in script no exception occur"
"jenkinsci","jep","https://github.com/jenkinsci/jep/pull/364","closed","2021-06-01T20:05:06Z","2021-06-27T14:41:52Z","jglick","Also remove `stapler-jruby`"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5574","closed","2021-06-14T16:29:20Z","2021-06-25T08:21:11Z","basil","Fix `ChainingConstructorIgnoresParameter` Error Prone violation"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5554","closed","2021-06-03T16:08:23Z","2021-06-06T15:20:10Z","basil","Bump parent POM from 1.63 to 1.64"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5563","closed","2021-06-06T21:04:43Z","2021-06-25T08:22:56Z","basil","FreeBSD support in `ProcessTree`"
"jenkinsci","tuleap-oauth-plugin","https://github.com/jenkinsci/tuleap-oauth-plugin/pull/126","closed","2021-06-11T10:12:15Z","2021-06-25T10:22:44Z","LeSuisse","Build and archive plugin artifact to ease the tests"
"jenkinsci","tuleap-api-plugin","https://github.com/jenkinsci/tuleap-api-plugin/pull/159","closed","2021-06-11T10:15:34Z","2021-06-25T10:22:19Z","LeSuisse","Build and archive plugin artifact to ease the tests"
"jenkinsci","tuleap-git-branch-source-plugin","https://github.com/jenkinsci/tuleap-git-branch-source-plugin/pull/236","closed","2021-06-11T09:23:21Z","2021-06-25T10:21:52Z","LeSuisse","Build and archive plugin artifact to ease the tests"
"jenkinsci","github-branch-source-plugin","https://github.com/jenkinsci/github-branch-source-plugin/pull/430","closed","2021-06-04T21:55:16Z","2021-06-24T20:28:43Z","bitwiseman","Update to use Jenkins 2.289.x LTS line"
"jenkinsci","tuleap-api-plugin","https://github.com/jenkinsci/tuleap-api-plugin/pull/160","closed","2021-06-11T10:18:22Z","2021-06-24T15:14:01Z","LeSuisse","Move to Ubuntu 20.04 in CI pipeline"
"jenkinsci","tuleap-git-branch-source-plugin","https://github.com/jenkinsci/tuleap-git-branch-source-plugin/pull/237","closed","2021-06-11T10:20:26Z","2021-06-24T15:09:30Z","LeSuisse","Move to Ubuntu 20.04 in CI pipeline"
"jenkinsci","kubernetes-credentials-provider-plugin","https://github.com/jenkinsci/kubernetes-credentials-provider-plugin/pull/54","closed","2021-06-10T12:12:38Z","2021-06-23T17:11:07Z","Vlatombe","Update kubernetes-client-api to 5.4.1"
"jenkinsci","snyk-security-scanner-plugin","https://github.com/jenkinsci/snyk-security-scanner-plugin/pull/83","closed","2021-06-15T12:44:04Z","2021-06-23T12:04:32Z","jahed-snyk","fix: include context path when hyperlinking to css"
"jenkinsci","snyk-security-scanner-plugin","https://github.com/jenkinsci/snyk-security-scanner-plugin/pull/82","closed","2021-06-14T12:50:22Z","2021-06-18T09:12:06Z","jahed-snyk","chore: use individuals for codeowners as jenkins org doesn't have our teams"
"jenkinsci","hpe-application-automation-tools-plugin","https://github.com/jenkinsci/hpe-application-automation-tools-plugin/pull/401","closed","2021-06-06T08:44:52Z","2021-06-22T03:20:23Z","radislavB","Octane 7.0.1-BETA - add MBT Runner"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5573","closed","2021-06-14T08:03:58Z","2021-06-16T09:21:13Z","timja","Backporting for 2.289.2"
"jenkinsci","opentelemetry-plugin","https://github.com/jenkinsci/opentelemetry-plugin/pull/128","closed","2021-06-14T11:41:10Z","2021-06-14T11:57:04Z","cyrille-leclerc","Prevent division by zero when no swap memory is allocated"
"jenkinsci","jep","https://github.com/jenkinsci/jep/pull/367","closed","2021-06-15T21:33:18Z","2021-06-21T20:53:10Z","jglick","Mini guide on replacing Digester with plain old Java programming"
"jenkinsci","conventional-commits-plugin","https://github.com/jenkinsci/conventional-commits-plugin/pull/39","closed","2021-06-01T13:15:40Z","2021-06-21T20:00:33Z","jonyto123","feat: add breaking change footer and !:"
"jenkinsci","jenkins-test-harness","https://github.com/jenkinsci/jenkins-test-harness/pull/323","closed","2021-06-15T15:16:40Z","2021-06-21T19:08:54Z","joseblas","`RealJenkinsRule` incompatible with servlet filters checking request parameters"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5568","closed","2021-06-11T20:36:50Z","2021-06-20T05:04:25Z","StefanSpieker","Minor Refactoring: Use try with resources in PluginManager"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5571","closed","2021-06-13T21:16:14Z","2021-06-20T05:04:14Z","thomasgl-orange","lib/form/RepeatableTest: tables-to-divs"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5575","closed","2021-06-14T18:55:50Z","2021-06-20T05:03:56Z","timja","Remove meaningless @since"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5565","closed","2021-06-09T21:20:56Z","2021-06-19T04:07:16Z","basil","Implement `InterceptingExecutorService` without Guava"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5560","closed","2021-06-05T22:22:32Z","2021-06-19T04:02:39Z","basil","Remove `jna-posix`"
"jenkinsci","workflow-cps-global-lib-plugin","https://github.com/jenkinsci/workflow-cps-global-lib-plugin/pull/112","closed","2021-06-10T01:46:29Z","2021-06-18T17:12:02Z","basil","Use Subversion version specified in BOM"
"jenkinsci","ec2-plugin","https://github.com/jenkinsci/ec2-plugin/pull/632","closed","2021-06-14T08:56:41Z","2021-06-18T10:56:29Z","unicolet","[JENKINS-23792] Do not terminate stopped EC2 nodes that were just booted"
"jenkinsci","snyk-security-scanner-plugin","https://github.com/jenkinsci/snyk-security-scanner-plugin/pull/81","closed","2021-06-14T12:45:04Z","2021-06-18T09:18:50Z","jahed-snyk","chore: migrate deprecated Jenkins.getInstance calls"
"jenkinsci","snyk-security-scanner-plugin","https://github.com/jenkinsci/snyk-security-scanner-plugin/pull/79","closed","2021-06-14T11:50:43Z","2021-06-18T09:18:36Z","jahed-snyk","feat: remove npm install process, only use binaries"
"jenkinsci","snyk-security-scanner-plugin","https://github.com/jenkinsci/snyk-security-scanner-plugin/pull/80","closed","2021-06-14T12:19:45Z","2021-06-18T09:17:37Z","jahed-snyk","fix: upgrade vulnerable credentials plugin"
"jenkinsci","workflow-scm-step-plugin","https://github.com/jenkinsci/workflow-scm-step-plugin/pull/52","closed","2021-06-10T01:47:55Z","2021-06-17T15:59:38Z","basil","Use Subversion version specified in BOM"
"jenkinsci","adobe-cloud-manager-plugin","https://github.com/jenkinsci/adobe-cloud-manager-plugin/pull/18","closed","2021-06-10T13:39:03Z","2021-06-10T16:38:29Z","bstopp","Remove JGit version from properties."
"jenkinsci","bom","https://github.com/jenkinsci/bom/pull/558","closed","2021-06-15T15:31:17Z","2021-06-16T07:23:09Z","car-roll","Increment subversion to 2.14.4"
"jenkinsci","jacoco-plugin","https://github.com/jenkinsci/jacoco-plugin/pull/151","closed","2021-06-07T20:43:57Z","2021-06-17T09:28:54Z","jtnord","[JENKINS-65757] only use pluginFirst classloader when you have no other option (and never for guice!)"
