GroupBy(user.login),count(org)
"AlexanderNikitin-Smartbear",1
"AlvinStanescu",4
"AndresFPineros",1
"ArturHarasimiuk",4
"BearSpry",1
"BenjaminCCross",1
"ChrisRo89",1
"ClementDEBOOS",1
"ColinWlodkowski",1
"Dece",1
"DieAkuteSense",1
"DivyeshChandra",1
"ElijahLynn",1
"Erwyn",2
"FlorianVeaux",1
"Flowdalic",1
"FnTm",1
"HrFlorianHoffmann",1
"I3urny",1
"IvoMiller",1
"Jochen-A-Fuerbacher",1
"JulienLajugie",1
"LinuxSuRen",5
"M0J0isback",1
"MOldenbourg",1
"MRamonLeon",3
"MarkEWaite",45
"MicroNovaAG",1
"PierreBtz",7
"Polpetta",1
"Reuuke",1
"RobinRSchulz",1
"RohitMazumder",1
"RoniSegal",9
"Russell616",1
"StefanSpieker",12
"SuperKmar",2
"ThoGro",1
"TimSVector",3
"TobiX",8
"Vlatombe",16
"Wadeck",4
"WildSaCk",1
"XavierRaynaud",1
"adamjwsuch",1
"adivos",1
"aduprat",1
"akomakom",1
"akram",4
"alb-i986",1
"alecharp",1
"alejdg",3
"alexanderrtaylor",1
"alibk0rd",4
"amareshray",1
"amritb",1
"amuniz",3
"anxolerd",2
"aphatangade",3
"arjantijms",1
"asimell",1
"aytuncbeken",3
"basil",3
"baymac",6
"bguerin",1
"bitwiseman",10
"bogdanmuresan",1
"bracketttc",1
"brenuart",2
"briceburg",2
"bwagner5",2
"calvinpark",1
"cam-laf",1
"car-roll",6
"ccedric",1
"cdelmonte-zg",2
"charlesjhongc",1
"chb0github",3
"cherylhughey",1
"cloudyster",1
"craigdbarber",1
"cyberark-bizdev",1
"daniel-beck",31
"darxriggs",8
"denhamcoote",1
"dkjellin",2
"dtbaum",1
"duemir",1
"dwnusbaum",10
"efhjnw0",5
"eldarkra",2
"ericcitaire",1
"felfert",2
"fengxx",1
"fqueiruga",7
"francoiscampbell",1
"francoisferrand",1
"fulgas",1
"g-doc",1
"gigaSproule",2
"gonrial",1
"goravjoshi",1
"gunnypatel",1
"gzussa",3
"h1dden-da3m0n",1
"halkeye",8
"heschulz",1
"iTMSJenkins",1
"imonteroperez",1
"ispasov",3
"jbleduigou",2
"jeffret-b",6
"jeschkies",1
"jetersen",11
"jglick",47
"jgoering41",4
"jhansche",1
"jimklimov",2
"jinzishuai",1
"jitendra9873",1
"jkhelil",1
"jlamande",4
"jlamasrios",2
"joesolly",1
"johnlinp",1
"jokogr",1
"jonahbull",1
"jonbrohauge",1
"jsok",2
"jsoref",2
"jtnord",3
"julian-alarcon",1
"justnoxx",2
"jvz",8
"jzyeezy",1
"kevinric",1
"khneal",1
"kkyiu",1
"krzsztf",1
"kuisathaverat",3
"lewgordon",1
"lhotrifork",1
"liuweiGL",3
"lukaskirner",1
"major",1
"malice00",2
"mandragorn",1
"markketchum",1
"markusmo3",1
"markyjackson-taulia",8
"marshallford",1
"martingrosche",1
"mattmurp",1
"mhenschke-atl",4
"minche2",1
"mkarebski",3
"mlasevich",1
"mmusenbr",1
"modmac",1
"morad1992",18
"mueller-jens",1
"mwinter69",1
"nbelliot",2
"nbutkowski",1
"nemui",1
"neocode24",1
"nfalco79",2
"nikhil-dabhade",3
"nikhildarocha",1
"nikita-bedmutha",2
"nirud",1
"nishidayuya",1
"nre-ableton",3
"nussera",1
"nxtn",1
"olamy",6
"olblak",87
"oleg-nenashev",88
"olivergondza",1
"ovasilko",8
"pelizza",2
"pipapo-sl",1
"piyush94",3
"pjdarton",7
"pooja-singh-appscan",6
"psftw",1
"psiingh",2
"pv-smartbear",1
"pyieh",1
"r2liquibase",1
"radislavB",3
"rantoniuk",4
"rb-john",1
"rbywater",2
"renat1sakenov",1
"res0nance",1
"rishabhBudhouliya",1
"robertdavis789",1
"rodrigc",1
"rohitagarwal11",1
"romenrg",1
"rottebds",4
"roundtrip-rslobojan",1
"runzexia",1
"sahilrkalra",1
"sallenCPWR",4
"samhrncir",1
"sarah-witt",2
"sbuhary",1
"scoheb",7
"sethmccombs",1
"sghill",3
"shchukax",1
"sladyn98",6
"slide",25
"smarklund",1
"sorend",1
"steven-terrana",6
"subprogram",1
"sue445",1
"sushobhit-lt",1
"tanmoyguha-hcl",2
"tembleking",1
"tempora-mutantur",3
"thatsIch",1
"thomasgl-orange",1
"tilln",2
"timja",64
"tmoreland-r7",2
"tomasch3034",1
"tomaszsek",1
"topikachu",1
"tsonev7",2
"tszmytka",3
"tumevoiz",7
"tylercamp",1
"uhafner",18
"uparulekar",1
"varyvol",1
"vazhnov",1
"vetal2409",5
"vinitasanghi",1
"vladt",1
"vsilverman",4
"webratz",1
"yJunS",1
"yubangxi",2
"zbynek",20
"zhaoying818",9
