GroupBy(user.login),count(org)
"AbhinavSinha12",1
"AleMartinez-Devops",1
"Andy2003",1
"ChampiYann",1
"ComputerBaer",1
"Dohbedoh",5
"GLundh",1
"GraemeLo",1
"HaipuSun123",1
"Hrushi20",1
"JeffCobble",1
"Lakhankumawat",2
"Langer0416",3
"MarkEWaite",78
"MartinGroscheTT",1
"MithileshPawar",1
"Mulgish",1
"NotMyFault",112
"Parad0X",1
"RemigiuszDudek",1
"Schattensilber",1
"Shivanshu-lambdatest",1
"SpiReCZ",1
"StefanSpieker",2
"StevenStreib",1
"SyambasivaAutonomiq",5
"TaiSHiNet",1
"Tattoo",1
"TobiX",2
"TonyNoble",1
"UlrichEckhardt",2
"Vlatombe",15
"Zohhak",1
"Zsolt-Lukacs22",3
"abioteau",1
"alannix-lw",1
"alecharp",1
"alyssat",2
"ankushkatiyar",1
"anurag-sachan",2
"askalski85",1
"bam-hbt",1
"barney2k7",1
"baruKreddy",1
"basil",184
"batmat",4
"benebsiny",1
"bhavani-velivala-sn",2
"blackliner",1
"bzzitsme",1
"car-roll",7
"carsongee",1
"cathychan",3
"cburne-oshyn",1
"cedric-c84-eu",1
"centic9",3
"chenlong220192",1
"chillaq",1
"chriskilding",1
"cnicolov",1
"cronik",1
"cwellmtt",1
"cyberark-bizdev",1
"cyrille-leclerc",13
"damianszczepanik",1
"daniel-beck",33
"dave-dresser",5
"dbradley771",1
"dcendents",2
"dduportal",40
"dee-kryvenko",1
"deepakdubey2624",1
"deronek",1
"djesionek",1
"dkjellin",4
"drodriguezhdez",2
"dskrvk",1
"duemir",2
"dwnusbaum",3
"eduard-tita",3
"egoramazon",1
"eltociear",1
"escoem",1
"fabricepipart1a",2
"ferrucciobongianni",1
"fo-code",8
"francoisfreitag",2
"frankie139506",1
"fredg02",1
"gbonnefille",1
"glasswalk3r",3
"gmcdonald",4
"h1dden-da3m0n",1
"halkeye",9
"hectorhuol",3
"hypery2k",2
"ikedam",1
"imonteroperez",3
"imskr",1
"imuqtadir",1
"isaacsatish",1
"jakubvondrak",1
"janfaracik",9
"janithjeewantha",1
"jasonwee",1
"jay-hershkowitz",3
"jeffret-b",1
"jellevanhees",1
"jfroche",1
"jglick",42
"jgray1206",1
"jhahn-r7",2
"jhominal",1
"jimklimov",2
"jlamasrios",2
"jmMeessen",7
"jonesbusy",3
"joshiparth1000",1
"jragula-zs",2
"jrdufresne",1
"jtnord",5
"juro994",2
"kevinlin18",2
"khatrig",1
"kimsehwan96",1
"kins-dev",1
"klow68",1
"koushartasneem",2
"kripajoym",1
"krisstern",1
"ktdreyer",1
"kuisathaverat",3
"lakshya8066",1
"lalitKumarHCL",1
"lanycrost",1
"leelavathidh192",1
"lemeurherve",49
"llk89",1
"markus-franke",1
"markusschaefer",1
"matejsp",1
"mawinter69",2
"meiswjn",2
"mhenschke-atl",9
"mikecirioli",1
"motteww",1
"mtughan",2
"mvecha",5
"myemir",1
"nestoracunablanco",1
"nhojpatrick",3
"nitheshrayuduv",1
"offa",7
"olamy",4
"oleg-nenashev",1
"olivergondza",2
"patbos",1
"pavel-snyk",1
"pedrompflopes",1
"petr-tichy",1
"phayes-r7",2
"philippart-s",1
"phuonghuynh",1
"pohkheng2",6
"ramakrishnaraov",1
"raul-arabaolaza",3
"reda-alaoui",1
"reftel",1
"reinholdfuereder",1
"res0nance",1
"richardjq",1
"rob-ott",1
"robinsoc",1
"robinverduijn",1
"robross0606",1
"rsandell",1
"sangamchitmugre",1
"shasait",2
"shenghui555",2
"shenxianpeng",1
"slide",1
"sll552",1
"smerle33",32
"sonatype-ci",1
"sparsick",2
"spherefoundry",1
"stchar",1
"steven-terrana",3
"strangelookingnerd",2
"stuartrowe",1
"thecooldrop",1
"thombergs",4
"timja",23
"tploss",1
"trispad",1
"twasyl",1
"uhafner",6
"v1v",4
"vihaanthora",3
"vijaypitla",1
"vikrantsnirban",1
"vishalhcl",1
"vzamoragbmc",2
"yuri1969",1
"zaycodes",1
"zbynek",8
