user,PR
"basil",150
"lemeurherve",96
"NotMyFault",69
"timja",63
"dduportal",59
"jglick",45
"smerle33",36
"MarkEWaite",36
"jonesbusy",30
"uhafner",27
"jtnord",24
"daniel-beck",17
"janfaracik",16
"alecharp",12
"zbynek",11
"kmartens27",11
"olamy",10
"strangelookingnerd",9
"mawinter69",8
"jmMeessen",8
"froque",8
"Vlatombe",8
"shashanksah143",7
"halkeye",7
"Dohbedoh",7
"timbrown5",6
"krisstern",6
"judovana",6
"idanhauser",6
"damianszczepanik",6
"Kevin-CB",6
"gounthar",5
"brokenpip3",5
"StefanSpieker",5
"weisun10",4
"ksalerno99",4
"c00ler",4
"bmaximuml",4
"SaarthakMaini",4
"MondalSayantan",4
"thyldrm",3
"thorveshubham",3
"rsandell",3
"pushker001",3
"ovasilko",3
"mustafau",3
"mPokornyETM",3
"itaibh",3
"hnehete-bmc",3
"evahabeeballah",3
"cyrille-leclerc",3
"albertvaka",3
"Mahmoudgalalz",3
"Darshan174",3
"wenwen12341234",2
"welandaz",2
"stuartrowe",2
"slide",2
"sitay93",2
"niralmaruda",2
"markrekveld",2
"lukej7",2
"jonaslind",2
"grafra",2
"ganeshborle",2
"dwnusbaum",2
"duemir",2
"donhui",2
"darxriggs",2
"cwellmtt",2
"cesan3",2
"ccHanibal",2
"bguerin",2
"balakine",2
"ao-apps",2
"ampuscas",2
"alextu",2
"Turiok",2
"PrathamAditya",2
"Harsh3341",2
"zealotous",1
"yshi-parasoft",1
"ykhandelwal913",1
"y-higuchi",1
"wliao008",1
"wenduwan",1
"weinrich15",1
"ujjawal-4664",1
"tombokombo",1
"thomaslorentsen",1
"tcuthbert",1
"swatipersistent",1
"sonatype-ci",1
"sonali-rajput",1
"shoelzle",1
"sephiroth-j",1
"rorybakerfmr",1
"romary22",1
"robinsoc",1
"rlenferink",1
"raul-arabaolaza",1
"randallnowsecure",1
"radeva",1
"prryb",1
"prince-panwar",1
"pramodc0777",1
"peddarajugolla1992",1
"pdk27",1
"pascal-hofmann",1
"pablogrs",1
"oliva123456",1
"nre-ableton",1
"norrs",1
"nissimshitrit",1
"nick-mathison",1
"nfalco79",1
"ncreep",1
"mukundsrinivasb",1
"missedone",1
"mbxsuite",1
"mattiasbpersson",1
"mat1e",1
"marcuzzuu",1
"mape2k",1
"mamh2021",1
"lzeee",1
"luke-engle",1
"lenaing",1
"kristofmoens",1
"koraytugay",1
"julieheard",1
"jragula-zs",1
"jprinet",1
"jppetrakis",1
"jonathanpdx",1
"jojand",1
"johnou",1
"jiakuanghe",1
"jaydee029",1
"jan-ruzicka-c",1
"ivan-levelops",1
"itsbrugu",1
"hettlage",1
"harsh-ps-2003",1
"gschurck",1
"fredg02",1
"francisf",1
"fengxx",1
"eduard-tita",1
"dshvedchenko",1
"dorin7bogdan",1
"djansons-atlassian",1
"dinwath",1
"dennisgu1",1
"dafangc-amazon",1
"crenan",1
"cml37",1
"cgperez",1
"cavissonsystems",1
"car-roll",1
"camueller",1
"cafuego",1
"ca-monteiro",1
"c0d3m0nky",1
"bpguasch",1
"bmagistro",1
"blacelle",1
"bachiri",1
"awang-parasoft",1
"amuniz",1
"amine3",1
"amaanbs",1
"alexwang19",1
"alexsomai",1
"agentgonzo",1
"adjshort",1
"adithyaakrishna",1
"accelq",1
"abhishekshah-qmetry",1
"abhijeet007rocks8",1
"Waschndolos",1
"SameerGoyal125",1
"Ryudo302",1
"Minreaux",1
"MartinGroscheTT",1
"Kaushik-Iyer",1
"Kalmalyzer",1
"Joe-Downs",1
"Griffin23",1
"Giridharan002",1
"Erwyn",1
"Elisedlund-ericsson",1
"EliaBracciSumo",1
"DuMaM",1
"Dneth04",1
"CzapBran",1
"CCFenner",1
"BlueDragn",1
"Anuj-Kumar-AJ",1
