
user,PR
"basil",232
"MarkEWaite",89
"dduportal",86
"lemeurherve",69
"jglick",65
"daniel-beck",39
"Vlatombe",37
"uhafner",32
"timja",30
"halkeye",25
"jmMeessen",20
"car-roll",14
"NotMyFault",12
"justusbunsi",10
"imonteroperez",10
"ferkulat",10
"bitwiseman",10
"lifeofguenter",9
"jtnord",9
"janfaracik",9
"cyrille-leclerc",9
"darinpope",8
"Dohbedoh",8
"zbynek",7
"offa",7
"jetersen",7
"falkena",7
"vladt",6
"olamy",6
"johnathafelix",6
"cdelmonte-zg",6
"v1v",5
"jlamasrios",5
"jay-hershkowitz",5
"dblock",5
"andrei-bitca-dc",5
"alecharp",5
"theirix",4
"sarah-witt",4
"nre-ableton",4
"mortenkri",4
"mlasevich",4
"mhenschke-atl",4
"lvaikunt",4
"khughes-atlassian",4
"imuqtadir",4
"cathychan",4
"batmat",4
"HEZI0427",4
"surendarsuyamprakasam",3
"slide",3
"rkosegi",3
"rishi-104276",3
"reda-alaoui",3
"nazarovkv",3
"jaguilar-atl",3
"j3t",3
"farodin91",3
"duemir",3
"dcendents",3
"ckearney-r7",3
"bncbhm",3
"blubzel",3
"bguerin",3
"ahmetrehaseker",3
"abayer",3
"Zastai",3
"StefanSpieker",3
"SOFYDEVELOPER",3
"zhipengwa",2
"wozjac",2
"whittlec",2
"tzachs",2
"tszmytka",2
"trevorlinton",2
"taksan",2
"stellargo",2
"sirius94",2
"repolevedavaj",2
"raul-arabaolaza",2
"psig-bah",2
"olblak",2
"nitinjirawal",2
"nissimshitrit",2
"nirkoren",2
"mostafaez",2
"mat1e",2
"marthinsen",2
"kuisathaverat",2
"jwalteri",2
"justnoxx",2
"h1dden-da3m0n",2
"dwnusbaum",2
"drodriguezhdez",2
"digulla",2
"dennisgu1",2
"damianszczepanik",2
"chicofaccin",2
"bleibdirtroy",2
"bhavani-velivala-sn",2
"benebsiny",2
"aneveux",2
"amuniz",2
"alany9552",2
"aheritier",2
"aHenryJard",2
"ThejashwiniSwamy",2
"SubhadraSahoo",2
"StackScribe",2
"SarveshLimaye",2
"Roy-Lu",2
"LTegtmeier",2
"EliaSaSe",2
"",2
"zhekoff316",1
"zhan9san",1
"yashcho",1
"wzyboy",1
"wouter-admiraal-sonarsource",1
"william-monroy",1
"wetest3159",1
"vitalyvoronovmf",1
"vikulin",1
"viceice",1
"vahram-papazyan",1
"tzender2",1
"twilleit",1
"thomasnemer",1
"szprutamich",1
"suratdas",1
"spazm",1
"skycoqueury",1
"skundrik",1
"sichapman",1
"shurikg",1
"shadycuz",1
"sghill",1
"sebracs",1
"sebhopley",1
"sams-gleb",1
"samrocketman",1
"reinholdfuereder",1
"raleigh-rinehart",1
"radislavB",1
"pramodanarase",1
"philippart-s",1
"paulsavoie",1
"ovasilko",1
"ottofds1",1
"oradwell",1
"nitheshrayuduv",1
"nikonorovi",1
"mount986",1
"mosheavni",1
"mlafaix",1
"mkrzywanski",1
"mig42",1
"mealingr",1
"mdelapenya",1
"mayank146009",1
"maslakov",1
"liluzee",1
"liangxia",1
"kohsuke",1
"jsupun",1
"jenkins-x-bot",1
"jandroav",1
"jamesrobson-secondmind",1
"jameslafferty",1
"jamesD33064",1
"isaacsatish",1
"hchakroun",1
"haiyanghaiyang",1
"guneetbh",1
"gcuisinier",1
"ganeshborle",1
"froque",1
"fposchner-cc",1
"felipecrs",1
"famod",1
"f-michaut",1
"ericcitaire",1
"eplodn",1
"eltociear",1
"donhui",1
"dkjellin",1
"dgeorgievski",1
"darxriggs",1
"danieldanan",1
"cyberark-bizdev",1
"criztovyl",1
"craig-rueda",1
"comjf",1
"chwehrli",1
"chriskilding",1
"carllindberg",1
"bowlesns",1
"bertold",1
"avidspartan1",1
"aphatangade",1
"ankk13",1
"andau",1
"abmohantyj",1
"Wadeck",1
"VolodymyrFesenko",1
"Tjuri",1
"RomanBoiarchuk",1
"Roesh",1
"ReyhanPatria",1
"Raytion",1
"PayBas",1
"PatrickHess",1
"Opa-",1
"NikolasKomonen",1
"NikolasFunction",1
"Mohandalissa",1
"MarckK",1
"LEDfan",1
"Kevin-CB",1
"Jehan8",1
"David-Villeneuve",1
"CyrilBrulebois",1
"Caellion",1
"Bkocsan",1
"Alex-Weatherhead",1
